City,WantIt,Like,Accommodation,Rating,TotalPrice,Rate,RatePercent,Cleaning,AirbnbFee,FeeTotal,FeePercent,BathCount,BedCount,TVCount,RestaurantCount,GroceryStoreCount,MallCount,TV,Sqm,Floor,Building,Ceiling,Groceries,Restaurant,Malls,Wifi,AC,WasherDryer,Fans,HotWater,Essentials,SelfCheckin,Luggage Dropoff,Gym,Elevator,View,Balcony,Workspace,Pool,HotTub,PoolTable,PingTable,OutdoorShower,Resort
Melgar,No,No,Apartaestudio Alto Verde,4.96,82.83,21.46,77.72546179,6.78,11.67,18.45,22.27453821,1,1,1,,,,43,35,6,Alto Verde,2.3m,12 min (Supermercados La Canasta Campesina),25 min (El Tablazo Melgar),,Yes (37Mbps),Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,,,
Ricaurte,No,No,Welcoming Apartamento Ricaurte-Girardot,5,95.98,23.72,74.14044593,11.3,13.52,24.82,25.85955407,1,1,1,,,,40,47,3,Alquina Sun,2.4m,23 min (D1),1h13m (Rancho Medina),,Yes,Yes,Yes,Yes,No,No,Yes,,,Yes,,Yes,Yes,Yes,,,Yes,,
Girardot,Yes,Yes,Beautiful apartment in Girardot,5,107.83,26.36,73.33766113,13.56,15.19,28.75,26.66233887,1,1,1,,,,58,61,7,Celeste,2.5m?,50 min (Olympica),50 min (KFC),,Yes,Yes,Yes,,No,No,,,,,,Yes,Yes,Yes,,,,,
Ibague,No,No,Ibagué apartment,5,97.3,24.85,76.61870504,9.04,13.71,22.75,23.38129496,1,1,1,,,,55,60,8,Tempus 49 Barrio Peidra,2.3m,11 min (Mercacentro),16 mins (Maria y El Mar),,Yes,No,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,,,,,
Bucaramanga,Yes,Yes,"Luxury, rest and comfort",5,131.5,33.89,77.31558935,11.3,18.53,29.83,22.68441065,2,2,2,,,,55,80,10,Central Park (Condominio?),N/A,1 min (MercadoDePlaza),15 mins (Sabor Cordillera),,Yes,Yes,Yes,,No,No,,,,,,,Yes,Yes,,,,,
Itagui,No,No,Ibiza Luxury loft in Sabaneta,5,150.64,38,75.67711099,18,18.64,36.64,24.32288901,2,3,,,,,,,,,,,,,Yes,No,Yes,,,,,,,,,Yes,Yes,No,,,,,
Ricaurte,No,Yes,MA Luxury Apartment,4.75,126.77,34.03,80.53167153,6.81,17.87,24.68,19.46832847,,,,,,,42,80,8,Morada Azul,1.8,,,,Yes,Yes,Yes,,,,,,Yes,Yes,,,,Yes,,Yes,,Yes,
Melgar,Yes,Yes,Quinta Campestre Shalom in Melgar. Private.,4.78,55.46,15.88,85.89974757,0,7.82,7.82,14.10025243,,,,,,,,,,,,,,,Yes,No,Yes,Yes,,,,,,,,Yes,,Yes,,,,,Yes
Ibague,Maybe,Yes,Lujoso apartamento en ibague centro con piscina,5,112.51,29.95,79.85956804,6.8,15.86,22.66,20.14043196,,,,,,,51/42,76,8,Altos De Santa Cecilia,3,,,,Yes,No,Yes,,,,,,Yes,Yes,,,,Yes,,,,,
Itagui,Maybe,Yes,apartamento con jacuzzi,5,237.7,68.07,85.91081195,0,33.49,33.49,14.08918805,,,,,,,50/32,80,5,,2.5,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,
Monteria,Maybe,Yes,"Coral, un lugar para disfrutar.",5,142.62,40.84,85.90660496,0,20.1,20.1,14.09339504,,,,,,,75,55,5,Conjunto Residencial Coral,,,,,Yes,Yes,Yes,,,,,,,,,,Yes,Yes,,,,,
Cucuta,No,No,"Apto nuevo, junto a centro comercial, zona segura",5,130.73,34.79,79.83630383,7.94,18.42,26.36,20.16369617,,,,,,,55/42,49,7,Condominio Guayacan,2.1,,,,Yes,Yes,No,,,,Yes,,,,,,,,,,,,
Mompos,No,Yes,"San Rafael, luxury in Mompos",4.89,333.54,111.18,100,0,0,0,0,,,,,,,50,23,1,Hotel San Rafael,4,,,,Yes,Yes,Yes (Paid),,,,,,,,,,Yes,,,,,,
