City,WantIt,Like,Accommodation,Rating,TotalPrice,Rate,RatePercent,Cleaning,AirbnbFee,FeeTotal,FeePercent,BathCount,BedCount,TVCount,RestaurantCount,GroceryStoreCount,MallCount,TV,Sqm,Floor,Building,Ceiling,Groceries,Restaurant,Malls,Wifi,AC,WasherDryer,Fans,HotWater,Essentials,SelfCheckin,Luggage Dropoff,Gym,Elevator,View,Balcony,Workspace,Pool,HotTub,PoolTable,PingTable,OutdoorShower,Resort
Melgar,0,0,Apartaestudio Alto Verde,4.96,82.83,21.46,77.72546179,6.78,11.67,18.45,22.27453821,1,1,1,,,,43,35,6,Alto Verde,2.3,12 min (Supermercados La Canasta Campesina),25 min (El Tablazo Melgar),,1,1,0,1,0,0,1,1,1,1,,1,1,1,1,,,,
Ricaurte,0,0,Welcoming Apartamento Ricaurte-Girardot,5,95.98,23.72,74.14044593,11.3,13.52,24.82,25.85955407,1,1,1,,,,40,47,3,Alquina Sun,2.4,23 min (D1),1h13m (Rancho Medina),,1,1,1,1,0,0,1,,,1,,1,1,1,,,1,,
Girardot,1,1,Beautiful apartment in Girardot,5,107.83,26.36,73.33766113,13.56,15.19,28.75,26.66233887,1,1,1,,,,58,61,7,Celeste,2.5,50 min (Olympica),50 min (KFC),,1,1,1,,0,0,,,,,,1,1,1,,,,,
Ibague,0,0,Ibagué apartment,5,97.3,24.85,76.61870504,9.04,13.71,22.75,23.38129496,1,1,1,,,,55,60,8,Tempus 49 Barrio Peidra,2.3,11 min (Mercacentro),16 mins (Maria y El Mar),,1,0,1,1,1,1,,,,,,1,1,1,,,,,
Bucaramanga,1,1,"Luxury, rest and comfort",5,131.5,33.89,77.31558935,11.3,18.53,29.83,22.68441065,2,2,2,,,,55,80,10,Central Park (Condominio?),,1 min (MercadoDePlaza),15 mins (Sabor Cordillera),,1,1,1,,0,0,,,,,,,1,1,,,,,
Itagui,0,0,Ibiza Luxury loft in Sabaneta,5,150.64,38,75.67711099,18,18.64,36.64,24.32288901,2,3,,,,,,,,,,,,,1,0,1,,,,,,,,,1,1,0,,,,,
Ricaurte,0,1,MA Luxury Apartment,4.75,126.77,34.03,80.53167153,6.81,17.87,24.68,19.46832847,,,,,,,42,80,8,Morada Azul,1.8,,,,1,1,1,,,,,,1,1,,,,1,,1,,1,
Melgar,1,1,Quinta Campestre Shalom in Melgar. Private.,4.78,55.46,15.88,85.89974757,0,7.82,7.82,14.10025243,,,,,,,,,,,,,,,1,0,1,1,,,,,,,,1,,1,,,,,1
Ibague,Maybe,1,Lujoso apartamento en ibague centro con piscina,5,112.51,29.95,79.85956804,6.8,15.86,22.66,20.14043196,,,,,,,51,76,8,Altos De Santa Cecilia,3,,,,1,0,1,,,,,,1,1,,,,1,,,,,
Itagui,Maybe,1,apartamento con jacuzzi,5,237.7,68.07,85.91081195,0,33.49,33.49,14.08918805,,,,,,,50,80,5,,2.5,,,,1,1,1,,,,,,,,,,,,,,,,
Monteria,Maybe,1,"Coral, un lugar para disfrutar.",5,142.62,40.84,85.90660496,0,20.1,20.1,14.09339504,,,,,,,75,55,5,Conjunto Residencial Coral,,,,,1,1,1,,,,,,,,,,1,1,,,,,
Cucuta,0,0,"Apto nuevo, junto a centro comercial, zona segura",5,130.73,34.79,79.83630383,7.94,18.42,26.36,20.16369617,,,,,,,55,49,7,Condominio Guayacan,2.1,,,,1,1,0,,,,1,,,,,,,,,,,,
Mompos,0,1,"San Rafael, luxury in Mompos",4.89,333.54,111.18,100,0,0,0,0,,,,,,,50,23,1,Hotel San Rafael,4,,,,1,1,1,,,,,,,,,,1,,,,,,
