rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,Wifi,Carbon monoxide alarm,Smoke alarm,guest_favorite,Garden view,Mountain view,Kitchen,Free parking on premises,Hot tub,Pets allowed,Exterior security cameras on property,Guest favorite,Valley view,Washer,Private patio or balcony,Private backyard – Fully fenced,TV with standard cable,Elevator,Air conditioning,Patio or balcony,Refrigerator,Superhost,Resort view,Fire pit,Free street parking,34 inch HDTV with Netflix,Free washer – In unit,Beach access – Beachfront,Dedicated workspace,Ocean view,Bay view
1,90,50,0,40,0,0,0,0,0,980013872835468944,Cabin in Buenaventura,01/18/25 - 01/21/25,58,2,2,4.75,4.75 (4),4,https://www.airbnb.com/rooms/980013872835468944?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,17,3,50,0.8620689655172413,0,8,8,0.13793103448275862,,true,false,false,,true,,,,,true,,,,,,,,,,,true,,true,true,,,,,,,
2,85,30,0,55,0,0,0,0,0,724878526226633447,Hut in Buenaventura,01/18/25 - 01/21/25,163,6,6,5,5.0 (3),1,https://www.airbnb.com/rooms/724878526226633447?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,54,3,163,1,0,0,0,0,,true,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,80,25,0,55,0,0,0,0,0,983322141251530437,Hut in Buenaventura,01/18/25 - 01/21/25,205,7,8,5,5.0 (3),1,https://www.airbnb.com/rooms/983322141251530437?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,59,3,176,0.8585365853658536,0,29,29,0.14146341463414633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,80,35,0,45,0,0,0,0,0,33827081,Apartment in Buenaventura,01/18/25 - 01/21/25,161,5,5,4.77,4.77 (71),3,https://www.airbnb.com/rooms/33827081?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,46,3,138,0.8571428571428571,0,23,23,0.14285714285714285,3 beds,,false,false,,,,true,true,,,,,,true,,,true,true,true,true,true,true,,,,,,,,,
5,80,45,0,35,0,0,0,0,0,816482872538518470,Home in Buenaventura,01/18/25 - 01/21/25,97,3,3,4.71,4.71 (17),5,https://www.airbnb.com/rooms/816482872538518470?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,28,3,83,0.8556701030927835,0,14,14,0.14432989690721648,,true,false,false,,,,true,,,,,,,,true,true,,,,,true,,,,true,true,true,,,,
6,80,55,0,25,0,0,0,0,0,1307302775347662081,Tent in Pianguita,01/18/25 - 01/21/25,56,1,1,,New,7,https://www.airbnb.com/rooms/1307302775347662081?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,16,3,48,0.8571428571428571,0,8,8,0.14285714285714285,,,false,false,,,,true,,,,,,,,,,,,,,,,,true,,,,true,true,,
7,75,50,0,25,0,0,0,0,0,989377668677935177,Cabin in Juanchaco,01/18/25 - 01/21/25,58,2,2,,,7,https://www.airbnb.com/rooms/989377668677935177?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,17,3,50,0.8620689655172413,0,8,8,0.13793103448275862,,,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,true,true,true
8,70,20,0,50,0,0,0,0,0,548009068313458646,Shipping container in Dagua,01/18/25 - 01/21/25,217,8,7,4.91,4.91 (11),2,https://www.airbnb.com/rooms/548009068313458646?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,57,3,172,0.7926267281105991,14,31,45,0.2073732718894009,,,false,false,,,true,true,true,,true,,,true,true,true,true,,,,,,,,,,,,,,,
9,70,40,0,30,0,0,0,0,0,662558019291401996,Cabin in Playa La Barra,01/18/25 - 01/21/25,120,4,4,4.7,4.7 (20),6,https://www.airbnb.com/rooms/662558019291401996?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,34,3,103,0.8583333333333333,0,17,17,0.14166666666666666,1 bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,65,10,0,55,0,0,0,0,0,919079260926752077,Cabin in Dagua,01/18/25 - 01/21/25,336,10,10,5,5.0 (18),1,https://www.airbnb.com/rooms/919079260926752077?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,96,3,289,0.8601190476190477,0,47,47,0.13988095238095238,,true,false,false,true,true,true,true,true,true,true,true,true,,,,,,,,,,,,,,,,,,,
11,40,15,0,25,0,0,0,0,0,1142894805341382136,Apartment in Buenaventura,01/18/25 - 01/21/25,289,9,9,,,7,https://www.airbnb.com/rooms/1142894805341382136?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,83,3,248,0.8581314878892734,0,41,41,0.14186851211072665,3 beds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
