rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,Guest favorite,Superhost
1,80,0,0,80,0,0,0,0,0,803494751872587117,Guesthouse in Puerto Colombia,01/18/25 - 01/21/25,0,17,7,5,5.0 (23),1,https://www.airbnb.com/rooms/803494751872587117?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,37,0,0,NaN,0,0,0,NaN,1 bed,true,
2,80,0,0,80,0,0,0,0,0,54209446,Room in Puerto Colombia,01/18/25 - 01/21/25,0,17,1,5,5.0 (23),1,https://www.airbnb.com/rooms/54209446?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,17,0,0,NaN,0,0,0,NaN,,true,
3,80,0,0,80,0,0,0,0,0,1252274391867524328,Room in Puerto Colombia,01/18/25 - 01/21/25,0,17,3,5,5.0 (5),1,https://www.airbnb.com/rooms/1252274391867524328?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,22,0,0,NaN,0,0,0,NaN,,true,
4,80,0,0,80,0,0,0,0,0,822335843109156008,Guesthouse in Puerto Colombia,01/18/25 - 01/21/25,0,17,6,5,5.0 (37),1,https://www.airbnb.com/rooms/822335843109156008?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,34,0,0,NaN,0,0,0,NaN,1 bed,true,
5,80,0,0,80,0,0,0,0,0,1227578356120390445,Guesthouse in Puerto Colombia,01/18/25 - 01/21/25,0,17,8,5,5.0 (6),1,https://www.airbnb.com/rooms/1227578356120390445?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,39,0,0,NaN,0,0,0,NaN,2 double beds,true,
6,80,0,0,80,0,0,0,0,0,1165961205256858417,Apartment in Puerto Colombia,01/18/25 - 01/21/25,0,17,2,5,5.0 (3),1,https://www.airbnb.com/rooms/1165961205256858417?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,18,0,0,NaN,0,0,0,NaN,,,
7,80,0,0,80,0,0,0,0,0,820212566662282417,Room in Puerto Colombia,01/18/25 - 01/21/25,0,17,1,5,5.0 (6),1,https://www.airbnb.com/rooms/820212566662282417?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,17,0,0,NaN,0,0,0,NaN,,,true
8,80,0,0,80,0,0,0,0,0,1038706195203628677,Apartment in Puerto Colombia,01/18/25 - 01/21/25,0,17,1,5,5.0 (13),1,https://www.airbnb.com/rooms/1038706195203628677?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,17,0,0,NaN,0,0,0,NaN,1 bed,true,
9,75,0,0,75,0,0,0,0,0,1006501327184066934,Loft in Miramar,01/18/25 - 01/21/25,0,17,10,4.93,4.93 (41),2,https://www.airbnb.com/rooms/1006501327184066934?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,68,0,0,NaN,0,0,0,NaN,,true,
10,70,0,0,70,0,0,0,0,0,860887474655903085,Apartment in Puerto Colombia,01/18/25 - 01/21/25,0,17,5,4.92,4.92 (36),3,https://www.airbnb.com/rooms/860887474655903085?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,30,0,0,NaN,0,0,0,NaN,,true,
11,65,0,0,65,0,0,0,0,0,1127645817359956501,Home in Puerto Colombia,01/18/25 - 01/21/25,0,17,12,4.91,4.91 (11),4,https://www.airbnb.com/rooms/1127645817359956501?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,81,0,0,NaN,0,0,0,NaN,3 beds,true,
12,65,0,0,65,0,0,0,0,0,1170572313397352027,Apartment in Puerto Colombia,01/18/25 - 01/21/25,0,17,7,4.91,4.91 (11),4,https://www.airbnb.com/rooms/1170572313397352027?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,37,0,0,NaN,0,0,0,NaN,,true,
13,60,0,0,60,0,0,0,0,0,1215293707193461536,Townhouse in Puerto Colombia,01/18/25 - 01/21/25,0,17,4,4.88,4.88 (8),5,https://www.airbnb.com/rooms/1215293707193461536?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,26,0,0,NaN,0,0,0,NaN,6 beds,true,
14,55,0,0,55,0,0,0,0,0,590576552996652949,Apartment in Miramar,01/18/25 - 01/21/25,0,17,9,4.83,4.83 (52),6,https://www.airbnb.com/rooms/590576552996652949?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,46,0,0,NaN,0,0,0,NaN,3 beds,,true
15,50,0,0,50,0,0,0,0,0,568336705834517701,Loft in Puerto Colombia,01/18/25 - 01/21/25,0,17,11,4.67,4.67 (51),7,https://www.airbnb.com/rooms/568336705834517701?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,74,0,0,NaN,0,0,0,NaN,4 beds,,true
16,45,0,0,45,0,0,0,0,0,1296029326341354262,Room in Puerto Colombia,01/18/25 - 01/21/25,0,17,2,,New,8,https://www.airbnb.com/rooms/1296029326341354262?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,18,0,0,NaN,0,0,0,NaN,,,
