rank,totalRankScore,priceRankScore,reviewRankScore,id,title,dates,totalPrice,totalPriceRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,priceRank,Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Washer,Air conditioning,Exterior security cameras on property,Carbon monoxide alarm,Smoke alarm,Mountain view,City skyline view,Shared pool,Pets allowed,Free street parking,Free washer – In unit,Refrigerator,HDTV,Hair dryer,Microwave,Long term stays allowed,Paid parking garage off premises,Pool,Elevator,40 inch HDTV,TV with standard cable,Patio or balcony,Backyard,Free residential garage on premises – 1 space,Hot tub
5,125,45,80,1280557311139134916,Apartment in Ibagué,01/18/25 - 01/21/25,116,10,5,5.0 (6),3,https://www.airbnb.com/rooms/1280557311139134916?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,89,0.7672413793103449,11,16,27,0.23275862068965517,2 beds,5,true,true,true,true,true,true,true,true,false,false,,,,,,,,,,,,,,,,,,,,
12,85,5,80,656298707967647916,Condo in Ibagué,01/18/25 - 01/21/25,571,18,5,5.0 (12),3,https://www.airbnb.com/rooms/656298707967647916?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,183,3,548,0.9597197898423818,23,0,23,0.040280210157618214,,12,true,true,true,true,,,,,false,false,true,true,true,true,,,,,,,,,,,,,,,,
11,95,20,75,945011200881623604,Apartment in Ibagué,01/18/25 - 01/21/25,149,15,4.92,4.92 (12),4,https://www.airbnb.com/rooms/945011200881623604?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,50,3,149,1,0,0,0,0,,11,true,true,true,true,true,true,,true,false,false,,,,true,,,,,,,,,,,,,,,,
6,120,50,70,1207520945103026129,Apartment in Ibagué,01/18/25 - 01/21/25,113,9,4.89,4.89 (9),5,https://www.airbnb.com/rooms/1207520945103026129?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,86,0.7610619469026548,11,16,27,0.23893805309734514,3 beds,6,true,true,,,true,,,,false,false,,,,true,true,true,true,,,,,,,,,,,,,
2,155,90,65,582509121729798939,Apartment in Ibagué,01/18/25 - 01/21/25,65,1,4.84,4.84 (67),6,https://www.airbnb.com/rooms/582509121729798939?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,16,3,47,0.7230769230769231,18,0,18,0.27692307692307694,,2,true,true,true,,,,,true,false,false,,,,true,,true,true,true,,,,,,,,,,,,
10,105,40,65,45685560,Loft in Ibagué,01/18/25 - 01/21/25,119,11,4.84,4.84 (32),6,https://www.airbnb.com/rooms/45685560?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,102,0.8571428571428571,0,17,17,0.14285714285714285,,10,true,true,,,true,,,true,false,,,,,,,,,,true,true,true,true,,,,,,,,
4,145,85,60,1262366402462522053,Apartment in Ibagué,01/18/25 - 01/21/25,69,2,4.8,4.8 (10),7,https://www.airbnb.com/rooms/1262366402462522053?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,54,0.782608695652174,5,10,15,0.21739130434782608,,4,true,true,true,,true,true,,,false,false,,,,,,,,,,,,,,,,,,,,
3,155,65,90,1197926858959403892,Apartment in Ibagué,01/18/25 - 01/21/25,91,6,4.8,4.8 (5),1,https://www.airbnb.com/rooms/1197926858959403892?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,21,3,62,0.6813186813186813,16,13,29,0.31868131868131866,,3,true,true,true,true,true,,,true,false,false,,,,,,,,,,,,,true,true,,,,,,
15,70,15,55,1069138348969988902,Apartment in Ibagué,01/18/25 - 01/21/25,223,16,4.75,4.75 (4),8,https://www.airbnb.com/rooms/1069138348969988902?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,60,3,180,0.8071748878923767,15,28,43,0.19282511210762332,,15,true,true,true,true,,,,,false,false,,,,true,,,,,,,,,true,true,true,,,,,
7,110,60,50,968289917643663880,Apartment in Ibagué,01/18/25 - 01/21/25,93,7,4.74,4.74 (34),9,https://www.airbnb.com/rooms/968289917643663880?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,85,0.9139784946236559,8,0,8,0.08602150537634409,,7,true,true,true,true,,true,,true,,,,,,true,,,,,,,,,,,,true,true,true,,
13,75,30,45,594187412726967905,Apartment in Ibagué,01/18/25 - 01/21/25,127,13,4.68,4.68 (56),10,https://www.airbnb.com/rooms/594187412726967905?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,36,3,109,0.8582677165354331,0,18,18,0.14173228346456693,,13,true,true,true,true,true,true,,,false,false,,,,,,,,,,,,,,true,,,true,,,
