,rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Wifi,Free parking on premises,TV,Washer,Paid crib - available upon request,Children’s books and toys for ages 2-5 years old,Baby bath - available upon request,Exterior security cameras on property,Carbon monoxide alarm,Smoke alarm,Guest favorite,Kitchen,Dedicated workspace,Free parking garage on premises – 1 space,Pool,HDTV with premium cable,Elevator,Private patio or balcony,City skyline view,Pets allowed,Shared outdoor pool - open specific hours,rooftop,Mountain view,Free dryer – In unit,Shared outdoor pool - available all year,open specific hours,infinity,rooftop,Shared hot tub - open specific hours,Free street parking,41 inch HDTV with HBO Max,Chromecast,Netflix,premium cable,standard cable,Fast wifi – 183 Mbps,Air conditioning,Superhost,Paid washer – In building,Shared pool,Private hot tub,Fast wifi – 185 Mbps,Shared sauna,HDTV with Netflix,Free residential garage on premises,55 inch HDTV with Amazon Prime Video,Netflix,HBO Max,Fire TV,Apple TV,Disney+,Indoor pool - available all year,open specific hours,rooftop,55 inch HDTV with HBO Max,Free washer – In unit,Shared outdoor pool - available all year,open specific hours,rooftop,Shared hot tub,55 inch HDTV with Netflix,premium cable,Shared pool -,HDTV with premium cable,standard cable,AC - split type ductless system,Patio or balcony,Backyard,Central air conditioning,Garden view,TV with premium cable,Fast wifi – 158 Mbps,60 inch HDTV with Netflix,Portable air conditioning,Shared outdoor pool - available all year,open specific hours,55 inch HDTV with Disney+,Netflix,Fast wifi – 101 Mbps,43 inch HDTV with Amazon Prime Video,Disney+,Netflix,premium cable,Shared outdoor pool - available all year,open specific hours,infinity,Fast wifi – 260 Mbps,32 inch HDTV with Roku,Hair dryer,42 inch HDTV with standard cable,Luggage dropoff allowed,50 inch HDTV with premium cable,Dryer,TV with standard cable,HDTV with standard cable,premium cable,Amazon Prime Video,Electrolux refrigerator,Microwave,Shared pool - available all year,open specific hours,50 inch HDTV with Amazon Prime Video,Disney+,Netflix,standard cable,Park view,Private outdoor pool - available all year,open specific hours,infinity,Private sauna,Free dryer
X,1,375,185,0,190,0,0,0,0,0,1103180747063026944,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,62,2,2,5,5.0 (64),1,https://www.airbnb.com/rooms/1103180747063026944?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,17,3,50,0.8064516129,3,9,12,0.1935483871,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,335,190,0,145,0,0,0,0,0,1156623638372071033,,,,Loft in Bucaramanga,01/18/25 - 01/21/25,48,1,1,4.85,4.85 (20),10,https://www.airbnb.com/rooms/1156623638372071033?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,14,3,55,1.145833333,0,7,7,0.1458333333,,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,FALSE,,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,310,165,0,145,0,0,0,0,0,21261273,,,,Condo in Floridablanca,01/18/25 - 01/21/25,79,6,4,4.85,4.85 (122),10,https://www.airbnb.com/rooms/21261273?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,19,3,57,0.7215189873,11,11,22,0.2784810127,,,TRUE,TRUE,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,310,180,0,130,0,0,0,0,0,658021841739109668,,,,Condo in Bucaramanga,01/18/25 - 01/21/25,69,3,2,4.81,4.81 (137),13,https://www.airbnb.com/rooms/658021841739109668?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,17,3,50,0.7246376812,9,10,19,0.2753623188,2 beds,TRUE,,,,,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,305,160,0,145,0,0,0,0,0,1018383185869001201,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,81,7,6,4.85,4.85 (100),10,https://www.airbnb.com/rooms/1018383185869001201?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,70,0.8641975309,0,11,11,0.1358024691,,TRUE,TRUE,,TRUE,,,,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,300,125,0,175,0,0,0,0,0,829753909364882966,,,,Apartment in Floridablanca,01/18/25 - 01/21/25,112,14,9,4.94,4.94 (18),4,https://www.airbnb.com/rooms/829753909364882966?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,86,0.7678571429,10,16,26,0.2321428571,2 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,300,150,0,150,0,0,0,0,0,1306757463655611420,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,90,9,6,4.86,4.86 (7),9,https://www.airbnb.com/rooms/1306757463655611420?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,69,0.7666666667,8,13,21,0.2333333333,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,300,170,0,130,0,0,0,0,0,29874375,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,73,5,3,4.81,4.81 (282),13,https://www.airbnb.com/rooms/29874375?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,55,0.7534246575,8,10,18,0.2465753425,,,TRUE,,,,,,,TRUE,FALSE,FALSE,,TRUE,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,300,175,0,125,0,0,0,0,0,48643609,,,,Loft in Bucaramanga,01/18/25 - 01/21/25,70,4,3,4.77,4.77 (178),14,https://www.airbnb.com/rooms/48643609?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,55,0.7857142857,5,10,15,0.2142857143,,,TRUE,TRUE,TRUE,,,,,TRUE,,,,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,290,135,0,155,0,0,0,0,0,813804294489879922,,,,Loft in Bucaramanga,01/18/25 - 01/21/25,105,12,8,4.89,4.89 (71),8,https://www.airbnb.com/rooms/813804294489879922?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,83,0.7904761905,7,15,22,0.2095238095,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
