rank,totalRankScore,priceRankScore,reviewRankScore,Tab Order,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,priceRank,Wifi,Free parking on premises,TV,Washer,Paid crib - available upon request,Children’s books and toys for ages 2-5 years old,Baby bath - available upon request,Exterior security cameras on property,Carbon monoxide alarm,Smoke alarm,Kitchen,Dedicated workspace,Pets allowed,65 inch HDTV with Amazon Prime Video,Apple TV,Disney+,Netflix,Elevator,Central air conditioning,Hair dryer,Hot tub,Air conditioning,Patio or balcony,Backyard,Luggage dropoff allowed,Fire pit,Fast wifi – 244 Mbps,Shared pool - open specific hours,Shared hot tub,Shared sauna,43 inch HDTV with Fire TV,City skyline view,Mountain view,Shared outdoor pool - available all year,open specific hours,infinity,rooftop,Shared hot tub - open specific hours,Fast wifi – 183 Mbps,Pool,HDTV with premium cable,Shared pool,Private hot tub,Fast wifi – 185 Mbps,HDTV with Netflix,Shared outdoor pool - available all year,open specific hours,rooftop,Fast wifi – 158 Mbps,Free parking garage on premises – 1 space,60 inch HDTV with Netflix,Free washer – In unit,Portable air conditioning,Shared outdoor pool - available all year,open specific hours,infinity,HDTV with premium cable,standard cable,Free street parking,42 inch HDTV with standard cable,Free dryer – In unit,Fast wifi – 67 Mbps,43 inch HDTV with Amazon Prime Video,Netflix,Refrigerator,HDTV with standard cable,premium cable,Amazon Prime Video,Electrolux refrigerator,Microwave,Smoking allowed
1,175,85,90,,1103180747063026944,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,61,2,5,5.0 (64),1,https://www.airbnb.com/rooms/1103180747063026944?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,16,3,49,0.8032786885,3,9,12,0.1967213115,,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,145,90,55,,1156623638372071033,,,,Loft in Bucaramanga,01/18/25 - 01/21/25,55,1,4.85,4.85 (20),8,https://www.airbnb.com/rooms/1156623638372071033?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,16,3,59,1.072727273,0,8,8,0.1454545455,,2,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,135,50,85,,973330135090708682,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,111,9,4.98,4.98 (41),2,https://www.airbnb.com/rooms/973330135090708682?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,85,0.7657657658,10,16,26,0.2342342342,1 double bed,3,,TRUE,,,,,,,,,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,135,75,60,,1306757463655611420,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,88,4,4.86,4.86 (7),7,https://www.airbnb.com/rooms/1306757463655611420?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.7727272727,8,12,20,0.2272727273,,4,TRUE,TRUE,TRUE,,,,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,125,60,65,,813804294489879922,,,,Loft in Bucaramanga,01/18/25 - 01/21/25,104,7,4.89,4.89 (71),6,https://www.airbnb.com/rooms/813804294489879922?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,27,3,82,0.7884615385,7,15,22,0.2115384615,,5,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,125,80,45,,29874375,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,73,3,4.81,4.81 (282),10,https://www.airbnb.com/rooms/29874375?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,55,0.7534246575,8,10,18,0.2465753425,,6,TRUE,,,,,,,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
7,115,25,90,,868854386942984348,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,179,14,5,5.0 (4),1,https://www.airbnb.com/rooms/868854386942984348?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,46,3,172,0.9608938547,16,25,41,0.2290502793,4 beds,7,TRUE,TRUE,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,110,30,80,2,675887603105093956,Yes,https://www.airbnb.com/guest/messages/2029754486,Yes,Loft in Bucaramanga,01/18/25 - 01/21/25,175,13,4.93,4.93 (160),3,https://www.airbnb.com/rooms/675887603105093956?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,47,3,140,0.8,10,25,35,0.2,,8,TRUE,TRUE,,,,,,TRUE,,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,110,55,55,,1236859005990542320,,,,Loft in Bucaramanga,01/18/25 - 01/21/25,109,8,4.85,4.85 (26),8,https://www.airbnb.com/rooms/1236859005990542320?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,33,3,100,0.9174311927,9,0,9,0.08256880734,1 queen bed,9,,,,,,,,,FALSE,FALSE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
10,105,15,90,,1058840822126285323,,,,Dome in Bucaramanga,01/18/25 - 01/21/25,206,16,5,5.0 (50),1,https://www.airbnb.com/rooms/1058840822126285323?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,59,3,177,0.859223301,0,29,29,0.140776699,,10,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
