rank,totalRankScore,priceRankScore,reviewRankScore,TabOrder,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,priceRank,Kitchen,Wifi,Free parking on premises,Pets allowed,TV,Washer,Carbon monoxide alarm,Garden view,32 inch HDTV with Netflix,Patio or balcony,Backyard,Smoke alarm,Dedicated workspace,Shared outdoor pool - open specific hours,infinity,Hot tub,50 inch HDTV,Elevator,Paid washer – In unit,Free parking garage on premises – 1 space,Pool,HDTV with premium cable,Private patio or balcony,Exterior security cameras on property,Shared outdoor pool - open specific hours,rooftop,Refrigerator,Microwave,Smoking allowed,Fast wifi – 325 Mbps,43 inch HDTV with Amazon Prime Video,Apple TV,Disney+,Netflix,standard cable,Free washer – In unit,Hair dryer,Mountain view,Free dryer – In unit,Park view,Wifi – 34 Mbps,Free street parking,HDTV,City skyline view,41 inch HDTV with HBO Max,Chromecast,Netflix,premium cable,standard cable,Indoor pool - available all year,open specific hours,rooftop,55 inch HDTV with HBO Max,Free residential garage on premises,55 inch HDTV with Amazon Prime Video,Netflix,HBO Max,Fire TV,Apple TV,Disney+,Central air conditioning,Fast wifi – 260 Mbps,32 inch HDTV with Roku,50 inch HDTV with Amazon Prime Video,Disney+,Netflix,standard cable,Shared hot tub,Shared sauna,50 inch HDTV with standard cable,Private gym in building,Air conditioning
1,170,80,90,,1304396849235169303,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,80,3,5,5.0 (6),1,https://www.airbnb.com/rooms/1304396849235169303?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.85,1,11,12,0.15,,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,165,75,90,,44316753,,,,Farm stay in Bucaramanga,01/18/25 - 01/21/25,93,4,5,5.0 (33),1,https://www.airbnb.com/rooms/44316753?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,75,0.8064516129,5,13,18,0.1935483871,,2,TRUE,TRUE,,TRUE,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,165,85,80,,973911363769975767,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,69,2,4.96,4.96 (114),3,https://www.airbnb.com/rooms/973911363769975767?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,54,0.7826086957,5,10,15,0.2173913043,,3,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,150,70,80,,1156431062893943461,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,94,5,4.96,4.96 (24),3,https://www.airbnb.com/rooms/1156431062893943461?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,75,0.7978723404,6,13,19,0.2021276596,,4,,,,TRUE,,,FALSE,,,,,FALSE,,,,,TRUE,,TRUE,,,,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,140,50,90,,963699173546471080,,,,Loft in Bucaramanga,01/18/25 - 01/21/25,113,9,5,5.0 (13),1,https://www.airbnb.com/rooms/963699173546471080?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,89,0.7876106195,10,14,24,0.2123893805,2 beds,5,TRUE,TRUE,TRUE,,,,FALSE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,140,65,75,,568194830638461378,,,,Guest suite in Bucaramanga,01/18/25 - 01/21/25,107,6,4.95,4.95 (56),4,https://www.airbnb.com/rooms/568194830638461378?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,84,0.785046729,8,15,23,0.214953271,,6,TRUE,,,TRUE,,,FALSE,,,,,FALSE,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,140,90,50,,658021841739109668,,,,Condo in Bucaramanga,01/18/25 - 01/21/25,68,1,4.81,4.81 (136),9,https://www.airbnb.com/rooms/658021841739109668?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,16,3,49,0.7205882353,9,10,19,0.2794117647,2 beds,7,TRUE,,,TRUE,,,FALSE,,,,,FALSE,TRUE,,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
8,135,80,55,,1018383185869001201,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,80,3,4.85,4.85 (100),8,https://www.airbnb.com/rooms/1018383185869001201?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,69,0.8625,0,11,11,0.1375,,8,TRUE,TRUE,,TRUE,TRUE,,FALSE,,,,,FALSE,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,130,60,70,4,829753909364882966,Yes,https://www.airbnb.com/guest/messages/2029768167,Yes,Apartment in Floridablanca,01/18/25 - 01/21/25,111,7,4.94,4.94 (18),5,https://www.airbnb.com/rooms/829753909364882966?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,85,0.7657657658,10,16,26,0.2342342342,2 beds,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,FALSE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,120,40,80,3,669040747084910067,,https://www.airbnb.com/guest/messages/2029792729,No,Condo in Floridablanca,01/18/25 - 01/21/25,137,11,4.96,4.96 (46),3,https://www.airbnb.com/rooms/669040747084910067?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,36,3,109,0.795620438,9,19,28,0.204379562,2 beds,10,TRUE,TRUE,,,TRUE,TRUE,FALSE,,,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
