rank,totalRankScore,priceRankScore,reviewRankScore,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,priceRank,Kitchen,Wifi,Dedicated workspace,Free street parking,Pets allowed,TV,Free washer – In unit,Luggage dropoff allowed,Carbon monoxide alarm,Smoke alarm,Free parking on premises,Air conditioning,Exterior security cameras on property,Pool,Washer,AC - split type ductless system,Private patio or balcony,Elevator,Free dryer – In unit,Hair dryer,Mountain view,City skyline view,Free carport on premises,Shared outdoor pool - available all year,open specific hours,rooftop,40 inch HDTV with premium cable,Fast wifi – 129 Mbps,32 inch HDTV with Amazon Prime Video,Disney+,Netflix,Paid washer – In unit,Free parking garage on premises – 1 space,Sauna,HDTV,TV with standard cable,Patio or balcony,Fast wifi – 101 Mbps,Shared sauna,43 inch HDTV with Amazon Prime Video,Disney+,Netflix,premium cable,Private indoor pool - available all year,open specific hours,Shared hot tub,37 inch HDTV with standard cable,Shared backyard – Fully fenced,50 inch HDTV with premium cable,Dryer,Portable air conditioning,Refrigerator
1,180,90,90,974605556078144187,,,,Apartment in Girón,01/18/25 - 01/21/25,49,1,5,5.0 (12),1,https://www.airbnb.com/rooms/974605556078144187?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,12,3,37,0.7551020408,5,7,12,0.2448979592,2 beds,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,155,65,90,23375011,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,92,6,5,5.0 (10),1,https://www.airbnb.com/rooms/23375011?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.7391304348,11,13,24,0.2608695652,,2,TRUE,TRUE,TRUE,,TRUE,TRUE,,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,155,80,75,1242095031946631179,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,79,3,4.94,4.94 (17),4,https://www.airbnb.com/rooms/1242095031946631179?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.8607594937,0,11,11,0.1392405063,,3,TRUE,TRUE,TRUE,,TRUE,TRUE,,,FALSE,FALSE,,,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,145,55,90,1283504688149755779,,,,Apartment in Girón,01/18/25 - 01/21/25,107,8,5,5.0 (4),1,https://www.airbnb.com/rooms/1283504688149755779?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,31,3,97,0.9065420561,0,15,15,0.1401869159,,4,TRUE,TRUE,,,TRUE,TRUE,,,FALSE,,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,135,60,75,1139818050493671323,,"Wanted To, but Airbnb says I have to wait",,Apartment in Bucaramanga,01/18/25 - 01/21/25,100,7,4.94,4.94 (18),4,https://www.airbnb.com/rooms/1139818050493671323?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,26,3,78,0.78,8,14,22,0.22,,5,TRUE,TRUE,,,TRUE,TRUE,,,FALSE,,TRUE,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,135,85,50,543500120672863941,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,70,2,4.75,4.75 (91),9,https://www.airbnb.com/rooms/543500120672863941?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,17,3,52,0.7428571429,8,10,18,0.2571428571,,6,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,
7,130,40,90,1079193609530257475,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,132,11,5,5.0 (7),1,https://www.airbnb.com/rooms/1079193609530257475?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,102,0.7727272727,11,19,30,0.2272727273,,7,TRUE,TRUE,,,,TRUE,,,FALSE,FALSE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,120,75,45,27137978,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,84,4,4.74,4.74 (222),10,https://www.airbnb.com/rooms/27137978?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,22,3,65,0.7738095238,7,12,19,0.2261904762,,8,,TRUE,TRUE,,TRUE,,,,FALSE,FALSE,,,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,
9,115,35,80,47176985,,,,Apartment in Bucaramanga,01/18/25 - 01/21/25,140,12,4.95,4.95 (55),3,https://www.airbnb.com/rooms/47176985?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,37,3,111,0.7928571429,9,20,29,0.2071428571,,9,TRUE,TRUE,TRUE,,,TRUE,,,FALSE,,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,110,50,60,715417278609627990,,,,Condo in Bucaramanga,01/18/25 - 01/21/25,115,9,4.82,4.82 (101),7,https://www.airbnb.com/rooms/715417278609627990?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,104,0.9043478261,11,16,27,0.2347826087,3 beds,10,TRUE,,TRUE,,,,TRUE,,FALSE,,,,,,,,,TRUE,,,,TRUE,,,,,,,TRUE,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,
