rank,totalRankScore,priceRankScore,reviewRankScore,id,title,dates,totalPrice,totalPriceRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,priceRank,Mountain view,Kitchen,Fast wifi – 314 Mbps,Dedicated workspace,HDTV with Netflix,Elevator,Washer – In unit,Dryer,Hair dryer,Refrigerator,Bay view,City skyline view,Shared beach access,Fast wifi – 111 Mbps,Free parking on premises,Pets allowed,Carbon monoxide alarm,Smoke alarm,Wifi,TV,Free washer – In unit,Free dryer – In unit,Beach access – Beachfront,Pool,Hot tub,Ocean view,58 inch HDTV with Netflix,Fast wifi – 59 Mbps,Free carport on premises – 1 space,50 inch HDTV with Netflix,Exterior security cameras on property,Courtyard view,Garden view,Lake view,Wifi – 10 Mbps,Private hot tub - available all year,open 24 hours,37 inch HDTV with Chromecast,Private patio or balcony,Private backyard – Not fully fenced,Luggage dropoff allowed,Children’s books and toys,Indoor fireplace,Shared pool,Air conditioning,Free parking garage on premises – 1 space,50 inch HDTV with Amazon Prime Video,Disney+,Netflix,standard cable,Fire pit,Smoking allowed
1,175,85,90,623117587805461963,Condo in Bogotá,Colombia,01/18/25 - 01/21/25,143,2,5,5.0 (32),1,https://www.airbnb.com/rooms/623117587805461963?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,37,3,112,0.7832167832,11,20,31,0.2167832168,1 queen bed,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,160,70,90,25054297,Guest suite in Las Tunas,Puerto López,Ecuador,01/18/25 - 01/21/25,181,5,5,5.0 (37),1,https://www.airbnb.com/rooms/25054297?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,50,3,150,0.8287292818,9,22,31,0.1712707182,1 king bed,2,,TRUE,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,155,75,80,40898161,Cottage in Vereda El Estanquillo,Dosquebradas,Colombia,01/18/25 - 01/21/25,173,4,4.98,4.98 (367),3,https://www.airbnb.com/rooms/40898161?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,48,3,143,0.8265895954,6,24,30,0.1734104046,2 beds,3,,TRUE,,TRUE,,,,,,,,TRUE,,,TRUE,TRUE,FALSE,,TRUE,TRUE,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,
4,155,80,75,914512548237131319,Cabin in Villa de Leyva,Colombia,01/18/25 - 01/21/25,157,3,4.97,4.97 (39),4,https://www.airbnb.com/rooms/914512548237131319?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,45,3,135,0.8598726115,0,22,22,0.1401273885,2 beds,4,TRUE,TRUE,,,TRUE,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,
5,135,45,90,1275624515309814937,Apartment in Cali,Colombia,01/18/25 - 01/21/25,214,10,5,5.0 (6),1,https://www.airbnb.com/rooms/1275624515309814937?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,66,3,197,0.9205607477,17,0,17,0.07943925234,2 beds,5,,TRUE,,TRUE,,TRUE,,,,,,,,,TRUE,TRUE,FALSE,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,135,90,45,707756958689793274,Apartment in Bucaramanga,Colombia,01/18/25 - 01/21/25,107,1,4.72,4.72 (72),10,https://www.airbnb.com/rooms/707756958689793274?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,36,3,170,1.588785047,0,0,0,0,2 double beds,6,TRUE,TRUE,,TRUE,,TRUE,,,,,,TRUE,,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,
7,130,65,65,1118856522609610109,Condo in Santa Marta,Colombia,01/18/25 - 01/21/25,184,6,4.95,4.95 (58),6,https://www.airbnb.com/rooms/1118856522609610109?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,48,3,144,0.7826086957,14,26,40,0.2173913043,1 double bed,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,130,90,40,1304433743231042266,Cabin in Córdoba,Colombia,01/18/25 - 01/21/25,107,1,,New,11,https://www.airbnb.com/rooms/1304433743231042266?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,31,3,92,0.8598130841,0,15,15,0.1401869159,2 beds,8,,TRUE,,,,,,,,,,,,,,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,TRUE,,,
9,125,55,70,1234329449891515771,Cabin in Sabaneta,Colombia,01/18/25 - 01/21/25,203,8,4.96,4.96 (24),5,https://www.airbnb.com/rooms/1234329449891515771?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,54,3,163,0.802955665,11,29,40,0.197044335,2 beds,9,TRUE,TRUE,,TRUE,,,,,,,,,,,TRUE,TRUE,,,TRUE,TRUE,,,,,TRUE,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,
10,120,60,60,1064511970836198373,Earthen home in Sabaneta,Colombia,01/18/25 - 01/21/25,196,7,4.94,4.94 (67),7,https://www.airbnb.com/rooms/1064511970836198373?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,52,3,157,0.8010204082,11,28,39,0.1989795918,,10,TRUE,TRUE,,TRUE,,,,,,,,,,,TRUE,TRUE,,,TRUE,TRUE,,,,,TRUE,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,
