city,dates,reviewScore,totalPrice,url
Envigado,1/26/25 - 1/29/25,5,203,https://www.airbnb.com/rooms/1242183564615333941?source_impression_id=p3_1735860111_P317GelP1gyhtegX&check_in=2025-02-09&guests=1&adults=1&check_out=2025-02-12
Envigado,1/26/25 - 1/29/26,4.92,194,https://www.airbnb.com/rooms/638932380920243265?category_tag=Tag%3A8535&enable_m3_private_room=true&photo_id=1412448066&search_mode=flex_destinations_search&check_in=2025-01-19&check_out=2025-01-22&source_impression_id=p3_1735873574_P3OkLMj-Whf1XSeT&previous_page_section_name=1000&federated_search_id=6a32bc9f-5740-44cf-abfe-e3afdcde7057
Medellin,1/26/25 - 1/29/27,,135,https://www.airbnb.com/rooms/1317367461385618546?adults=1&search_mode=regular_search&check_in=2025-01-19&check_out=2025-01-22&source_impression_id=p3_1735855577_P30qwfKLXKeNxVyr&previous_page_section_name=1000&federated_search_id=bc14c3a8-b946-4212-b8b9-ff4447c8e8a9
Medellin,1/26/25 - 1/29/28,5,306,https://www.airbnb.com/rooms/1173091797040554642?source_impression_id=p3_1736337072_P3xFkI_aWojfn3sS&check_in=2025-01-26&guests=1&adults=1&check_out=2025-01-29
Medellin,1/26/25 - 1/29/29,4.96,166,https://www.airbnb.com/rooms/643794803942554764?category_tag=Tag%3A677&enable_m3_private_room=true&photo_id=1709210453&search_mode=flex_destinations_search&source_impression_id=p3_1735874617_P3ckfnexSng2RBoD&previous_page_section_name=1000&federated_search_id=521b261d-bbcd-40e5-9ff9-96663dfe74b5&guests=1&adults=1&check_in=2025-01-31&check_out=2025-02-03
Medellin,1/26/25 - 1/29/30,4.85,143,https://www.airbnb.com/rooms/53710799?category_tag=Tag%3A677&enable_m3_private_room=true&photo_id=1300187858&search_mode=flex_destinations_search&source_impression_id=p3_1735874190_P3wqmcZxv993ypWd&previous_page_section_name=1000&federated_search_id=8c21367b-63f7-44a3-9383-952010f56114&guests=1&adults=1&check_in=2025-02-09&check_out=2025-02-12
Medellin,1/26/25 - 1/29/31,4.92,155,https://www.airbnb.com/rooms/1057144230512146296?category_tag=Tag%3A8535&enable_m3_private_room=true&photo_id=1933081499&search_mode=flex_destinations_search&source_impression_id=p3_1735873574_P3B-ODlSId11zZRU&previous_page_section_name=1000&federated_search_id=6a32bc9f-5740-44cf-abfe-e3afdcde7057&guests=1&adults=1&check_in=2025-01-26&check_out=2025-01-29
Medellin,1/26/25 - 1/29/32,,131,https://www.airbnb.com/rooms/1308980776963975181?category_tag=Tag%3A8535&enable_m3_private_room=true&photo_id=2048804755&search_mode=flex_destinations_search&check_in=2025-01-19&check_out=2025-01-22&source_impression_id=p3_1735873574_P36BWtiUEO9T42Yg&previous_page_section_name=1000&federated_search_id=6a32bc9f-5740-44cf-abfe-e3afdcde7057
Medellin,1/26/25 - 1/29/33,4.91,257,https://www.airbnb.com/rooms/882030215363997111?category_tag=Tag%3A8535&enable_m3_private_room=true&photo_id=1641466061&search_mode=flex_destinations_search&check_in=2025-02-09&source_impression_id=p3_1735873253_P3Kq_FAwMZv4Hxqe&previous_page_section_name=1000&federated_search_id=ff01e352-b4fc-45fb-ae7e-a114a39a3a5c&guests=1&adults=1&check_out=2025-02-13
Medellin,1/26/25 - 1/29/34,5,181,https://www.airbnb.com/rooms/1201662356271691757?category_tag=Tag%3A8535&enable_m3_private_room=true&photo_id=1953562276&search_mode=flex_destinations_search&source_impression_id=p3_1735873104_P37bCMWWJfw-ukfo&previous_page_section_name=1000&federated_search_id=96afbff9-6545-4daf-bf35-c8c4bb82d345&guests=1&adults=1&check_in=2025-02-16&check_out=2025-02-19
Medellin,1/26/25 - 1/29/35,4.94,91,https://www.airbnb.com/rooms/1163035417007723310?category_tag=Tag%3A8535&enable_m3_private_room=true&photo_id=1913863120&search_mode=flex_destinations_search&source_impression_id=p3_1735873104_P3jv4S1172PfoRuO&previous_page_section_name=1000&federated_search_id=96afbff9-6545-4daf-bf35-c8c4bb82d345&guests=1&adults=1&check_in=2025-02-18&check_out=2025-02-21
Medellin,1/26/25 - 1/29/36,5,121,https://www.airbnb.com/rooms/1234150559692111184?category_tag=Tag%3A8535&enable_m3_private_room=true&photo_id=2008539041&search_mode=flex_destinations_search&source_impression_id=p3_1735872507_P3nYESTKneqJmooa&previous_page_section_name=1000&federated_search_id=2089fd6a-5e7e-497a-b815-5ee8af0b7451&guests=1&adults=1&check_in=2025-01-27&check_out=2025-01-30
Medellin,1/26/25 - 1/29/37,4.93,170,https://www.airbnb.com/rooms/716014686002708737?category_tag=Tag%3A8535&enable_m3_private_room=true&photo_id=1774309259&search_mode=flex_destinations_search&check_in=2025-01-19&check_out=2025-01-22&source_impression_id=p3_1735872412_P31kbc_heQAiZ2XA&previous_page_section_name=1000&federated_search_id=42f04f8e-3afa-4d51-8ee7-8a6d0f91f6e4
Medellin,1/26/25 - 1/29/38,5,324,https://www.airbnb.com/rooms/1243633354792043666?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22&source_impression_id=p3_1736028538_P3g7jnI6M7Jjln6g
