,rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,Guest favorite,guest_favorite,Kitchen,Fast wifi – 67 Mbps,TV,Washer,Luggage dropoff allowed,Hair dryer,Microwave,Long term stays allowed,Carbon monoxide alarm,Smoke alarm,Garden view,Park view,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Exterior security cameras on property,Air conditioning,Superhost,Elevator,TV with standard cable,Refrigerator,Fast wifi – 321 Mbps,40 inch HDTV,Free washer – In unit,Private patio or balcony,Samsung refrigerator,Shared outdoor pool - available all year,open specific hours,heated,Mountain view,City skyline view,Valley view,Wifi – 33 Mbps,Free parking garage on premises – 1 space,Shared hot tub - available all year,open specific hours,Shared sauna,55 inch HDTV with Netflix,Free carport on premises,31 inch HDTV with Netflix,HDTV with Netflix,Free dryer – In unit,Paid washer – In building,Fast wifi – 280 Mbps,Private backyard – Not fully fenced,Free washer – In building,Patio or balcony,Courtyard view,55 inch HDTV with Netflix,standard cable,HDTV with standard cable,Shared pool,Fast wifi – 178 Mbps,Free carport on premises – 2 spaces,55 inch HDTV with Amazon Prime Video,HBO Max,Netflix,premium cable,Shared backyard – Not fully fenced,TV with Netflix,Free street parking,Dryer,Shared outdoor pool - available all year,open specific hours,lap pool,Private hot tub,55 inch HDTV with Chromecast,Disney+,Netflix,Fast wifi – 348 Mbps,55 inch HDTV,Paid street parking off premises,Pack ’n play/Travel crib - available upon request,HDTV with premium cable,Netflix,Central air conditioning,Fast wifi – 410 Mbps,Fast wifi – 249 Mbps,Shared outdoor pool - available all year,open specific hours,43 inch HDTV,Paid dryer – In building,55 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,premium cable,standard cable,Children’s books and toys,Fast wifi – 264 Mbps,Hot tub,32 inch HDTV with premium cable,Fast wifi – 327 Mbps,40 inch HDTV with Amazon Prime Video,Netflix,premium cable,standard cable,Disney+,AC - split type ductless system,MABE refrigerator,Fast wifi – 252 Mbps,Free residential garage on premises – 1 space,Dryer – In unit,Portable air conditioning,Backyard,Smoking allowed,Fast wifi – 193 Mbps,Fast wifi – 83 Mbps,Shared outdoor pool,Shared hot tub,43 inch HDTV with standard cable,premium cable,Netflix,Fast wifi – 344 Mbps,Haceb refrigerator,32 inch HDTV,Pool,Private hot tub - available all year,open 24 hours,43 inch HDTV with Netflix,standard cable,Free dryer – In building,50 inch HDTV,HACEB refrigerator
X,1,1190,610,0,580,0,0,0,0,0,1012494277776847329,,,,Apartment in Medellín,01/18/25 - 01/21/25,57,1,1,4.92,4.92 (37),7,https://www.airbnb.com/rooms/1012494277776847329?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,13,3,38,0.6666666667,11,8,19,0.3333333333,,TRUE,TRUE,,,TRUE,,,,,,FALSE,FALSE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1180,570,0,610,0,0,0,0,0,1024890128594827648,,,,Apartment in Envigado,01/18/25 - 01/21/25,86,9,6,5,5.0 (31),1,https://www.airbnb.com/rooms/1024890128594827648?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,20,3,60,0.6976744186,15,11,26,0.3023255814,1 bed,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,1160,550,0,610,0,0,0,0,0,1132821203237121864,,,,Apartment in Envigado,01/18/25 - 01/21/25,93,13,9,5,5.0 (7),1,https://www.airbnb.com/rooms/1132821203237121864?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,23,3,70,0.752688172,23,0,23,0.247311828,1 double bed,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,1160,580,0,580,0,0,0,0,0,1075633672647192884,,,,Apartment in Itagüi,01/18/25 - 01/21/25,84,7,6,4.92,4.92 (13),7,https://www.airbnb.com/rooms/1075633672647192884?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,20,3,61,0.7261904762,11,12,23,0.2738095238,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,FALSE,,,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,1155,600,0,555,0,0,0,0,0,32238634,,,,Guest suite in Envigado,01/18/25 - 01/21/25,72,3,3,4.87,4.87 (54),12,https://www.airbnb.com/rooms/32238634?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,16,3,48,0.6666666667,14,10,24,0.3333333333,1 double bed,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,1145,575,0,570,0,0,0,0,0,855266872811779694,,,,Apartment in Envigado,01/18/25 - 01/21/25,85,8,8,4.9,4.9 (62),9,https://www.airbnb.com/rooms/855266872811779694?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,22,3,66,0.7764705882,7,12,19,0.2235294118,,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,,,FALSE,,,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,1145,590,0,555,0,0,0,0,0,1139253196673099421,,,,Apartment in Envigado,01/18/25 - 01/21/25,78,5,5,4.87,4.87 (54),12,https://www.airbnb.com/rooms/1139253196673099421?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,19,3,56,0.7179487179,11,11,22,0.2820512821,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,FALSE,FALSE,,,TRUE,TRUE,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,1140,530,0,610,0,0,0,0,0,1132829715605896967,,,,Apartment in Envigado,01/18/25 - 01/21/25,101,17,12,5,5.0 (6),1,https://www.airbnb.com/rooms/1132829715605896967?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,26,3,78,0.7722772277,23,0,23,0.2277227723,1 double bed,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,1140,600,0,540,0,0,0,0,0,51329719,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,72,3,4,4.84,4.84 (122),15,https://www.airbnb.com/rooms/51329719?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,18,3,54,0.75,8,10,18,0.25,2 beds,TRUE,TRUE,TRUE,,,,,,TRUE,TRUE,FALSE,FALSE,,,TRUE,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,1135,525,0,610,0,0,0,0,0,1269126708884957383,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,104,18,6,5,5.0 (6),1,https://www.airbnb.com/rooms/1269126708884957383?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,20,3,59,0.5673076923,30,15,45,0.4326923077,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
