,rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,Kitchen,Wifi,Dedicated workspace,Free street parking,Hot tub,Pets allowed,50 inch HDTV with Netflix,Elevator,Carbon monoxide alarm,Smoke alarm,Free parking on premises,Pool,TV,Washer,Exterior security cameras on property,Superhost,guest_favorite,Free residential garage on premises – 1 space,Free washer – In unit,AC - split type ductless system,Guest favorite,City skyline view,Mountain view,Free carport on premises – 1 space,21 inch TV with Disney+,standard cable,Roku,Free dryer – In unit,Luggage dropoff allowed,Hair dryer,Refrigerator,Free washer – In building,Shared backyard – Not fully fenced,Free residential garage on premises,HDTV with premium cable,Netflix,Amazon Prime Video,Disney+,55 inch HDTV with Amazon Prime Video,Netflix,standard cable,Private patio or balcony,32 inch TV with standard cable,43 inch HDTV with Netflix,Private hot tub,32 inch HDTV with Netflix,standard cable,Fast wifi – 95 Mbps,42 inch HDTV,Dryer,Patio or balcony
X,1,155,80,0,75,0,0,0,0,0,1075633672647192884,,,,Apartment in Itagüi,01/18/25 - 01/21/25,84,3,3,4.92,4.92 (13),4,https://www.airbnb.com/rooms/1075633672647192884?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,20,3,61,0.7261904762,11,12,23,0.2738095238,,TRUE,TRUE,TRUE,,,,,,FALSE,,,,TRUE,TRUE,,,TRUE,,,,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,
,2,155,90,0,65,0,0,0,0,0,1091493677888405271,,,,Apartment in Itagüi,01/18/25 - 01/21/25,64,1,1,4.89,4.89 (19),6,https://www.airbnb.com/rooms/1091493677888405271?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,18,3,55,0.859375,0,9,9,0.140625,,TRUE,TRUE,,,,TRUE,,,FALSE,FALSE,,,,,,,TRUE,,TRUE,,TRUE,TRUE,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,
,3,150,70,0,80,0,0,0,0,0,53386313,,,,Apartment in Itagüi,01/18/25 - 01/21/25,92,5,5,4.96,4.96 (48),3,https://www.airbnb.com/rooms/53386313?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,26,3,79,0.8586956522,0,13,13,0.1413043478,,TRUE,TRUE,TRUE,,,,,,FALSE,FALSE,,,,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,145,75,0,70,0,0,0,0,0,855266872811779694,,,,Apartment in Envigado,01/18/25 - 01/21/25,85,4,4,4.9,4.9 (62),5,https://www.airbnb.com/rooms/855266872811779694?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,22,3,66,0.7764705882,7,12,19,0.2235294118,,TRUE,TRUE,TRUE,,,,,,FALSE,,,,TRUE,,TRUE,,TRUE,,,,TRUE,,,,,,TRUE,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,
,5,145,85,0,60,0,0,0,0,0,1139253196673099421,,,,Apartment in Envigado,01/18/25 - 01/21/25,78,2,2,4.87,4.87 (54),7,https://www.airbnb.com/rooms/1139253196673099421?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,19,3,56,0.7179487179,11,11,22,0.2820512821,,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
,6,135,45,0,90,0,0,0,0,0,1263233888052673027,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,162,10,9,5,5.0 (4),1,https://www.airbnb.com/rooms/1263233888052673027?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,40,3,121,0.7469135802,18,23,41,0.2530864198,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,135,55,0,80,0,0,0,0,0,1267570302224081748,,,,Loft in Medellín,01/18/25 - 01/21/25,131,8,11,4.96,4.96 (24),3,https://www.airbnb.com/rooms/1267570302224081748?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,44,3,131,1,0,0,0,0,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,FALSE,FALSE,,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,125,65,0,60,0,0,0,0,0,50346247,,,,Apartment in Itagüi,01/18/25 - 01/21/25,123,6,7,4.87,4.87 (39),7,https://www.airbnb.com/rooms/50346247?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,34,3,102,0.8292682927,21,0,21,0.1707317073,4 beds,TRUE,TRUE,TRUE,,,TRUE,,,FALSE,FALSE,,,,,,,TRUE,,TRUE,,TRUE,TRUE,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,
X,9,120,35,0,85,0,0,0,0,0,1009614986162695739,,,,Home in Itagüi,01/18/25 - 01/21/25,177,12,16,4.97,4.97 (37),2,https://www.airbnb.com/rooms/1009614986162695739?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,52,3,182,1.028248588,22,0,22,0.1242937853,3 beds,TRUE,TRUE,,,,TRUE,,,FALSE,FALSE,,,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,120,50,0,70,0,0,0,0,0,53444721,,,,Condo in Itagüi,01/18/25 - 01/21/25,138,9,6,4.9,4.9 (52),5,https://www.airbnb.com/rooms/53444721?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,32,3,96,0.6956521739,25,17,42,0.3043478261,3 beds,TRUE,TRUE,,,,,,TRUE,FALSE,FALSE,,,,,,,TRUE,,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,
,11,115,25,0,90,0,0,0,0,0,1267397063698233160,,,,Apartment in Itagüi,01/18/25 - 01/21/25,186,14,11,5,5.0 (4),1,https://www.airbnb.com/rooms/1267397063698233160?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,44,3,137,0.7365591398,30,26,56,0.3010752688,,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
