title,dates,reviewScore,totalPrice,url,nightlyRate,nights,nightlyTotal,discount,cleaningFee,airbnbFee,feeTotal
Manila luxe Paradise: Unbeatable View and location,1/14/25 - 1/17/25,5,424.93,https://www.airbnb.com/rooms/1016842110226805851?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711585358_SCMpuCfN1pnR8ax3&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-01-14&check_out=2025-01-17,117.67,3,353.01,-17.65,37,52.57,89.57
New Luxury Apartment in Medellin - Poblado,1/30/25 - 2/1/25,4.96,268,https://www.airbnb.com/rooms/569013406988758799?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711585484_cwEfF38nDbIL7GpQ&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-01-30&check_out=2025-02-02,80,,,,,,
Medi-tierrean Vibes Poblado! KingBd/300mb/4mLleras,1/26/25 - 1/29/25,4.93,333,https://www.airbnb.com/rooms/1026310835862241345?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711585542_C564dubAZsRiOU3D&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-01-26&check_out=2025-01-29,90,,,,,,
"Top Floor, Views, A/C, Fiber Internet in Laureles",2/4/25 - 2/8/25,4.94,361,https://www.airbnb.com/rooms/18345419?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711585601_fnQXYMTyV1BirjMU&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-02-04&check_out=2025-02-08,88,,,,,,
Breathtaking views. El Poblado! Total Remodel!,2/6/25 - 2/9/25,4.88,438,https://www.airbnb.com/rooms/846307105899108594?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711585693_DI3WiaBfIVXVoW8u&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-02-06&check_out=2025-02-09,99,,,,,,
"Entire rental unit in Medellín, Colombia",1/26/25 - 1/29/25,4.69,289,https://www.airbnb.com/rooms/980573811186101102?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711585861_oVOGaWw4NVxtfjDM&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-01-26&check_out=2025-01-29,95,,,,,,
Modern apartment with private Hot Tub and AC,2/2/25 - 2/5/25,4.92,394,https://www.airbnb.com/rooms/54166446?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711586156_GJoUR2OsoTgGHyfz&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-02-02&check_out=2025-02-05,102,,,,,,
Modern Paisa Inspired Apt in Laureles,1/26/25 - 1/29/25,4.94,312,https://www.airbnb.com/rooms/1049271029535223996?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711586464_DeUMOX8YnX%2FVeB02&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-01-26&check_out=2025-01-29,95,,,,,,
"Blux Loft, Near Provenza, A/C, SmartTV, Dryer",1/26/25 - 1/29/25,4.93,337,https://www.airbnb.com/rooms/5442597?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711586781_zZRexQuT5ts1CXin&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-01-26&check_out=2025-01-29,94,,,,,,
Riviera Suite Poblado! King Bed/150mbps/4mn>Llera,2/9/25 - 2/12/25,4.95,379,https://www.airbnb.com/rooms/1025713242653912898?adults=1&amenities%5B0%5D=4&source_impression_id=p3_1711587016_5piuitAcpcJYaJKh&previous_page_section_name=1000&federated_search_id=9de55503-2d50-4f82-a54c-e76c625e081f&guests=1&check_in=2025-02-09&check_out=2025-02-12,109,,,,,,
