rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Washer,Backyard,Carbon monoxide alarm,Smoke alarm,Guest favorite,Superhost,Air conditioning,Exterior security cameras on property,Hair dryer,Refrigerator,Microwave,TV with standard cable,Luggage dropoff allowed,Elevator,Paid dryer – In building,Fast wifi – 321 Mbps,40 inch HDTV,Free washer – In unit,Private patio or balcony,Samsung refrigerator,Long term stays allowed,Dryer,City skyline view,Fast wifi – 330 Mbps,72 inch HDTV with premium cable,Paid washer – In building,HDTV with Netflix,Free dryer – In unit,Garden view,Fast wifi – 151 Mbps,50 inch HDTV,Central air conditioning,Free parking garage on premises – 1 space,Fast wifi – 200 Mbps,HDTV with standard cable,Mountain view,Hot tub,55 inch HDTV with Netflix,Free street parking,Private hot tub,43 inch HDTV with Apple TV,Disney+,Netflix,HBO Max,Free washer – In building,Free dryer – In building,Courtyard view,Fast wifi – 342 Mbps,Free driveway parking on premises – 2 spaces,Paid washer,50 inch HDTV with Disney+,Netflix,Shared patio or balcony,Smoking allowed,43 inch HDTV,AC - split type ductless system,Shared sauna,55 inch HDTV,Fast wifi – 60 Mbps,Fast wifi – 306 Mbps,Free driveway parking on premises – 1 space,Free residential garage on premises,40 inch HDTV with Chromecast,standard cable,Shared outdoor pool - available all year,open specific hours,rooftop,50 inch HDTV with Netflix,standard cable,Shared backyard – Not fully fenced,TV with Netflix,Shared outdoor pool - available all year,open specific hours,lap pool,55 inch HDTV with Chromecast,Disney+,Netflix,Fast wifi – 293 Mbps,Fast wifi – 503 Mbps,Patio or balcony,42 inch HDTV with premium cable,Bathtub,Shared hot tub - available all year,open specific hours,43 inch HDTV with standard cable,Netflix,Private hot tub - available all year,open 24 hours,43 inch HDTV with Netflix,standard cable,Free driveway parking on premises – 6 spaces,55 inch HDTV with Amazon Prime Video,Apple TV,Chromecast,Disney+,Netflix,Canal view,Free carport on premises,43 inch HDTV with Netflix,Fast wifi – 249 Mbps,Free carport on premises – 2 spaces,Shared outdoor pool - available all year,open specific hours,82 inch HDTV with Amazon Prime Video,Fire TV,Hulu,Netflix,DVD player,HDTV with Amazon Prime Video,Disney+,Netflix,High chair,65 inch HDTV with Netflix,premium cable,Fast wifi – 264 Mbps,43 inch HDTV with standard cable,Amazon Prime Video,Disney+,Netflix,HBO Max,MABE refrigerator,Fast wifi – 252 Mbps,Free residential garage on premises – 1 space,Washer – In building,Private hot tub - available all year,43 inch HDTV with Netflix,standard cable,Disney+,HBO Max,Amazon Prime Video,Fast wifi – 165 Mbps,Fast wifi – 274 Mbps,43 inch HDTV with Netflix,premium cable,standard cable,Fast wifi – 246 Mbps,50 inch HDTV with Fire TV,Netflix,43 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,standard cable,Free parking garage on premises,Shared outdoor pool,Shared hot tub,43 inch HDTV with standard cable,premium cable,Netflix,Pool,43 inch HDTV with Netflix,standard cable,premium cable,Fast wifi – 205 Mbps,Challenger refrigerator,Shared pool,Valley view,43 inch TV with Netflix,Fast wifi – 383 Mbps,42 inch HDTV with Netflix,standard cable,Dryer – In unit,LG refrigerator,Window AC unit,Paid parking garage off premises,Crib,Paid parking lot off premises
1,1485,760,0,725,0,0,0,0,0,1012494277776847329,Apartment in Guayabal,01/18/25 - 01/21/25,58,1,1,4.92,4.92 (37),8,https://www.airbnb.com/rooms/1012494277776847329?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,13,3,38,0.6551724138,12,8,20,0.3448275862,,TRUE,,TRUE,TRUE,,,TRUE,,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1480,750,0,730,0,0,0,0,0,508618914062587342,Apartment in Medellín,01/18/25 - 01/21/25,69,3,3,4.93,4.93 (43),7,https://www.airbnb.com/rooms/508618914062587342?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,19,3,57,0.8260869565,2,10,12,0.1739130435,2 beds,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,FALSE,,TRUE,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1480,755,0,725,0,0,0,0,0,798423531472416367,Apartment in Medellín,01/18/25 - 01/21/25,66,2,2,4.92,4.92 (39),8,https://www.airbnb.com/rooms/798423531472416367?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,16,3,48,0.7272727273,9,9,18,0.2727272727,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,FALSE,,TRUE,,,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1470,710,0,760,0,0,0,0,0,1080734644084993575,Apartment in Medellín,01/18/25 - 01/21/25,108,11,11,5,5.0 (20),1,https://www.airbnb.com/rooms/1080734644084993575?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,31,3,93,0.8611111111,0,15,15,0.1388888889,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1465,730,0,735,0,0,0,0,0,1163035417007723310,Apartment in Medellín,01/18/25 - 01/21/25,98,7,9,4.94,4.94 (34),6,https://www.airbnb.com/rooms/1163035417007723310?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,84,0.8571428571,0,14,14,0.1428571429,1 bed,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,FALSE,FALSE,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1455,740,0,715,0,0,0,0,0,855266872811779694,Apartment in Envigado,01/18/25 - 01/21/25,85,5,5,4.9,4.9 (62),10,https://www.airbnb.com/rooms/855266872811779694?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,22,3,66,0.7764705882,7,12,19,0.2235294118,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,FALSE,,TRUE,,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1430,715,0,715,0,0,0,0,0,1207365693539801549,Apartment in Medellín,01/18/25 - 01/21/25,107,10,15,4.9,4.9 (10),10,https://www.airbnb.com/rooms/1207365693539801549?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,36,3,107,1,0,0,0,0,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1430,725,0,705,0,0,0,0,0,839180744463580587,Apartment in Medellín,01/18/25 - 01/21/25,101,8,7,4.88,4.88 (90),12,https://www.airbnb.com/rooms/839180744463580587?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,76,0.7524752475,11,14,25,0.2475247525,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,FALSE,FALSE,TRUE,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1425,725,0,700,0,0,0,0,0,979855321976956934,Apartment in Guayabal,01/18/25 - 01/21/25,101,8,7,4.87,4.87 (60),13,https://www.airbnb.com/rooms/979855321976956934?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,76,0.7524752475,11,14,25,0.2475247525,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,FALSE,FALSE,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1420,735,0,685,0,0,0,0,0,881937919451851340,Apartment in Envigado,01/18/25 - 01/21/25,92,6,6,4.84,4.84 (103),16,https://www.airbnb.com/rooms/881937919451851340?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,24,3,72,0.7826086957,7,13,20,0.2173913043,2 beds,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
