rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Elevator,Washer,Exterior security cameras on property,Carbon monoxide alarm,Guest favorite,Park view,Free residential garage on premises – 1 space,55 inch HDTV with Amazon Prime Video,Netflix,Smoke alarm,Fast wifi – 342 Mbps,Private hot tub,55 inch HDTV with standard cable,Dryer,Fast wifi – 602 Mbps,Luggage dropoff allowed,Hair dryer,Superhost,Free dryer – In unit,Refrigerator,50 inch HDTV with Netflix,Free washer – In unit,Haceb refrigerator,Long term stays allowed,City skyline view,Free street parking,TV with Roku,Netflix,Garden view,Air conditioning,LG refrigerator,Hot tub,Sauna,Shared indoor pool - available all year,open specific hours,heated,Private hot tub - available all year,open 24 hours,65 inch HDTV with Netflix,premium cable,Fast wifi – 91 Mbps,55 inch HDTV with Netflix,standard cable,Private patio or balcony,Mountain view,Private pool - lap pool,Free parking on premises – 1 space,Courtyard view,Fast wifi – 76 Mbps,Microwave,Fast wifi – 67 Mbps,Shared outdoor pool - available all year,open specific hours,heated,Patio or balcony,Fast wifi – 308 Mbps,Shared hot tub - available all year,open specific hours,Shared sauna,HDTV with standard cable,Pool,Mabe refrigerator,Smoking allowed,Fast wifi – 198 Mbps,Private backyard – Fully fenced,Paid parking off premises,Paid washer – In building,Paid dryer – In building,43 inch HDTV with Netflix,Shared patio or balcony,Free carport on premises,31 inch HDTV with Netflix,HDTV with Netflix,Shared outdoor pool - available all year,open specific hours,heated,infinity,lap pool,rooftop,Shared hot tub,60 inch HDTV with standard cable,Fast wifi – 313 Mbps,Free parking garage on premises,65 inch HDTV with premium cable,Netflix,Shared hot tub - available all year,45 inch HDTV with standard cable,Fast wifi – 77 Mbps,HDTV with Fire TV,Fast wifi – 184 Mbps,Fast wifi – 567 Mbps,Crib,Free dryer – In building,TV with standard cable,55 inch HDTV with Netflix,Backyard,Private sauna,43 inch HDTV,Children’s books and toys,HDTV with Apple TV,Fast wifi – 334 Mbps,Indoor fireplace,Fire pit,AC - split type ductless system,Valley view,65 inch HDTV with Apple TV,Chromecast,Disney+,Hulu,Netflix,premium cable,standard cable,Free dryer,Portable air conditioning,Free washer – In building,Shared hot tub - open specific hours,Free driveway parking on premises – 1 space,140 inch HDTV with HBO Max,Netflix,DVD player,Free residential garage on premises – 2 spaces,Shared pool,75 inch HDTV with Netflix,premium cable,42 inch HDTV with standard cable,High chair,Fast wifi – 178 Mbps,Free carport on premises – 2 spaces,55 inch HDTV with Amazon Prime Video,HBO Max,Netflix,premium cable,50 inch HDTV,34 inch HDTV with standard cable,Fast wifi – 85 Mbps,60 inch HDTV with Amazon Prime Video,Apple TV,Chromecast,Disney+,HBO Max,Hulu,Netflix,Washer – In building,Shared backyard – Not fully fenced,HDTV with Amazon Prime Video,Netflix,Disney+,standard cable,Fast wifi – 113 Mbps,80 inch HDTV with Chromecast,Netflix,55 inch HDTV with Amazon Prime Video,Netflix,standard cable,Fast wifi – 348 Mbps,Free parking garage on premises – 1 space,55 inch HDTV,TV with Netflix,50 inch TV with Netflix,standard cable,Fast wifi – 279 Mbps,Private outdoor pool - available all year,open 24 hours,infinity,Free carport on premises – 1 space,HDTV with standard cable,Netflix,premium cable,Free carport on premises – 4 spaces,Private outdoor pool - available all year,open 24 hours,olympic-sized,46 inch HDTV,Bathtub,Pack ’n play/Travel crib - available upon request,Hot tub - open specific hours,Fast wifi – 160 Mbps,60 inch HDTV with Netflix,standard cable,Paid parking on premises,58 inch HDTV,Beach access – Beachfront,Dryer – In building,HDTV with premium cable,Netflix,Central air conditioning,HACEB refrigerator,40 inch HDTV with premium cable,standard cable,43 inch HDTV with standard cable,Fast wifi – 410 Mbps,Fast wifi – 317 Mbps,32 inch HDTV with Netflix,Amazon Prime Video,premium cable,Private pool,55 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,premium cable,standard cable,Fast wifi – 263 Mbps,Fast wifi – 199 Mbps,55 inch TV,32 inch HDTV,Shared backyard – Fully fenced,MABE refrigerator,Fast wifi – 327 Mbps,40 inch HDTV with Amazon Prime Video,Netflix,premium cable,standard cable,Disney+,43 inch HDTV with Amazon Prime Video,Netflix,Fast wifi – 267 Mbps,Wifi – 4 Mbps,Private hot tub - open 24 hours,Fast wifi – 137 Mbps,Free driveway parking on premises – 5 spaces,65 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Hulu,Netflix,Roku,32 inch HDTV with premium cable,TV with Netflix,standard cable,70 inch HDTV with Netflix,standard cable,Fast wifi – 172 Mbps,65 inch HDTV,Fast wifi – 95 Mbps,42 inch HDTV,Dryer – In unit,Fast wifi – 193 Mbps,Fast wifi – 307 Mbps,42 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,TV with Netflix,Amazon Prime Video,Private backyard – Not fully fenced,50 inch HDTV with premium cable,Fast wifi – 344 Mbps,Fast wifi – 108 Mbps,Resort view,107 inch HDTV with Netflix,premium cable,Crib - available upon request,TV with Roku,Fast wifi – 180 Mbps,49 inch TV with Netflix,standard cable,SAMSUNG refrigerator,40 inch HDTV,Shared hot tub - available seasonally,open specific hours,HDTV,32 inch TV with Netflix,Amazon Prime Video,Disney+,Hisense refrigerator
1,3469,0,1215,1245,0,4,1000,0,5,892131230393947080,Apartment in Envigado,01/18/25 - 01/21/25,0,250,7,5,5.0 (12),1,https://www.airbnb.com/rooms/892131230393947080?,18,0,0,NaN,0,0,0,NaN,3 double beds,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,FALSE,,,,,FALSE,,,,,,,,TRUE,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3464,0,1215,1245,0,4,1000,0,0,1274657153434232515,Apartment in Envigado,01/18/25 - 01/21/25,0,250,7,5,5.0 (3),1,https://www.airbnb.com/rooms/1274657153434232515?,18,0,0,NaN,0,0,0,NaN,,,TRUE,TRUE,TRUE,,,TRUE,,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3461,0,1210,1245,0,4,1000,2,0,757863855238222386,Condo in Envigado,01/18/25 - 01/21/25,0,250,8,5,5.0 (15),1,https://www.airbnb.com/rooms/757863855238222386?,19,0,0,NaN,0,0,0,NaN,,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,FALSE,TRUE,,,,FALSE,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3456,0,1205,1245,0,4,1000,2,0,1269126708884957383,Apartment in Sabaneta,01/18/25 - 01/21/25,0,250,9,5,5.0 (6),1,https://www.airbnb.com/rooms/1269126708884957383?,20,0,0,NaN,0,0,0,NaN,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3454,0,1245,1200,0,4,1000,0,5,610349890918604615,Villa in Envigado,01/18/25 - 01/21/25,0,250,1,4.9,4.9 (60),10,https://www.airbnb.com/rooms/610349890918604615?,1,0,0,NaN,0,0,0,NaN,12 beds,,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,TRUE,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3451,0,1235,1210,0,4,1000,2,0,1012494277776847329,Apartment in Medellín,01/18/25 - 01/21/25,0,250,3,4.92,4.92 (37),8,https://www.airbnb.com/rooms/1012494277776847329?,13,0,0,NaN,0,0,0,NaN,1 bed,TRUE,,TRUE,TRUE,,,TRUE,,,,FALSE,TRUE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3449,0,1200,1245,0,4,1000,0,0,48075838,Casa particular in Envigado,01/18/25 - 01/21/25,0,250,10,5,5.0 (15),1,https://www.airbnb.com/rooms/48075838?,21,0,0,NaN,0,0,0,NaN,,,TRUE,TRUE,TRUE,,,,,,,FALSE,,,,,FALSE,,,,,,TRUE,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3439,0,1190,1245,0,4,1000,0,0,1271231297709787532,Apartment in Envigado,01/18/25 - 01/21/25,0,250,12,5,5.0 (3),1,https://www.airbnb.com/rooms/1271231297709787532?,23,0,0,NaN,0,0,0,NaN,1 bed,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,FALSE,,,,,FALSE,,,,,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3434,0,1180,1245,0,4,1000,0,5,1112313582535662661,Apartment in Envigado,01/18/25 - 01/21/25,0,250,14,5,5.0 (7),1,https://www.airbnb.com/rooms/1112313582535662661?,25,0,0,NaN,0,0,0,NaN,1 double bed,,TRUE,,TRUE,,TRUE,TRUE,,TRUE,,FALSE,,,,,FALSE,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3426,0,1175,1245,0,4,1000,2,0,1132821203237121864,Apartment in Envigado,01/18/25 - 01/21/25,0,250,15,5,5.0 (7),1,https://www.airbnb.com/rooms/1132821203237121864?,26,0,0,NaN,0,0,0,NaN,1 double bed,TRUE,TRUE,,,,,TRUE,,TRUE,,FALSE,TRUE,,,,FALSE,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
