rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Park view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Refrigerator,Carbon monoxide alarm,Smoke alarm,Guest favorite,Washer,Pets allowed,Hair dryer,Mabe refrigerator,Microwave,Smoking allowed,Free street parking,Air conditioning,Garden view,Exterior security cameras on property,Free washer – In unit,Luggage dropoff allowed,High chair,Courtyard view,Elevator,Free dryer – In unit,Private patio or balcony,Valley view,142 inch HDTV,LG refrigerator,TV with standard cable,Shared hot tub - available all year,open specific hours,Shared sauna,Hot tub,50 inch HDTV with Netflix,Paid dryer – In building,Fast wifi – 321 Mbps,40 inch HDTV,Samsung refrigerator,Long term stays allowed,Pool,Superhost,City skyline view,Dryer,Indoor fireplace,Sauna,HDTV with Netflix,Shared pool,Patio or balcony,Outdoor pool - open specific hours,Free residential garage on premises – 1 space,AC - split type ductless system,Mountain view,Fast wifi – 77 Mbps,Shared hot tub - available all year,Shared outdoor pool - available all year,open specific hours,Free dryer,Fast wifi – 567 Mbps,Paid washer – In building,Free parking garage on premises – 1 space,43 inch HDTV with standard cable,32 inch TV with Netflix,standard cable,Free washer – In building,Fast wifi – 280 Mbps,60 inch HDTV with standard cable,Shared hot tub - open specific hours,34 inch HDTV with standard cable,HDTV with standard cable,Shared outdoor pool - available all year,rooftop,60 inch HDTV with Netflix,standard cable,Shared backyard – Not fully fenced,Fast wifi – 113 Mbps,80 inch HDTV with Chromecast,Netflix,Fast wifi – 296 Mbps,HDTV with Disney+,Roku,Free residential garage on premises,HDTV with premium cable,Netflix,Amazon Prime Video,Disney+,55 inch HDTV with Amazon Prime Video,Netflix,standard cable,Portable air conditioning,32 inch TV with standard cable,Paid street parking off premises,Backyard,Hot tub - open specific hours,HDTV with premium cable,Netflix,Central air conditioning,43 inch HDTV with Netflix,Private backyard – Fully fenced,Private hot tub,32 inch HDTV with Netflix,standard cable,Free driveway parking on premises,Private hot tub - available all year,open 24 hours,Free parking on premises – 1 space,32 inch HDTV,Shared backyard – Fully fenced,32 inch HDTV with premium cable,Fast wifi – 327 Mbps,40 inch HDTV with Amazon Prime Video,Netflix,premium cable,standard cable,Disney+,Fast wifi – 95 Mbps,42 inch HDTV,Fast wifi – 210 Mbps,43 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,standard cable,Haceb refrigerator,Crib - available upon request,Fast wifi – 83 Mbps,Fast wifi – 52 Mbps,Shared outdoor pool - available all year,open specific hours,heated,50 inch HDTV with Disney+,Netflix,Fast wifi – 94 Mbps,50 inch HDTV,Paid parking on premises,Free dryer – In building,HACEB refrigerator,Fast wifi – 56 Mbps,Paid parking off premises,Children’s books and toys for ages 0-2 years old,2-5 years old,5-10 years old,and 10+ years old,55 inch HDTV with standard cable,Dryer – In unit
1,1095,560,0,535,0,0,0,0,0,1111852955623163926,Apartment in La Estrella,01/18/25 - 01/21/25,52,3,5,4.91,4.91 (11),8,https://www.airbnb.com/rooms/1111852955623163926?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,15,3,45,0.8653846154,0,7,7,0.1346153846,,,,TRUE,,,,TRUE,TRUE,FALSE,FALSE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1085,540,0,545,0,0,0,0,0,954494705579151646,Place to stay in Sabaneta,01/18/25 - 01/21/25,59,7,5,4.94,4.94 (18),6,https://www.airbnb.com/rooms/954494705579151646?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,15,3,45,0.7627118644,6,8,14,0.2372881356,,TRUE,,TRUE,TRUE,TRUE,,,,FALSE,FALSE,TRUE,,,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1085,545,0,540,0,0,0,0,0,1012494277776847329,Apartment in Medellín,01/18/25 - 01/21/25,58,6,3,4.92,4.92 (37),7,https://www.airbnb.com/rooms/1012494277776847329?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,13,3,38,0.6551724138,12,8,20,0.3448275862,,TRUE,,,TRUE,TRUE,,TRUE,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1070,570,0,500,0,0,0,0,0,44447960,Apartment in Envigado,01/18/25 - 01/21/25,41,1,1,4.84,4.84 (43),15,https://www.airbnb.com/rooms/44447960?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,9,3,28,0.6829268293,7,6,13,0.3170731707,1 queen bed,,,TRUE,TRUE,TRUE,,,,FALSE,FALSE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1065,495,0,570,0,0,0,0,0,1024890128594827648,Apartment in Envigado,01/18/25 - 01/21/25,86,16,10,5,5.0 (31),1,https://www.airbnb.com/rooms/1024890128594827648?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,60,0.6976744186,15,11,26,0.3023255814,1 bed,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1060,535,0,525,0,0,0,0,0,1091493677888405271,Apartment in Itagüi,01/18/25 - 01/21/25,64,8,8,4.89,4.89 (19),10,https://www.airbnb.com/rooms/1091493677888405271?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,55,0.859375,0,9,9,0.140625,,TRUE,,TRUE,TRUE,,,,,FALSE,FALSE,TRUE,,TRUE,,,,,,,,,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1050,510,0,540,0,0,0,0,0,1194447361898895941,Apartment in Sabaneta,01/18/25 - 01/21/25,79,13,13,4.92,4.92 (12),7,https://www.airbnb.com/rooms/1194447361898895941?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.8607594937,0,11,11,0.1392405063,2 beds,TRUE,,TRUE,TRUE,TRUE,,TRUE,,FALSE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1040,500,0,540,0,0,0,0,0,1075633672647192884,Apartment in Itagüi,01/18/25 - 01/21/25,85,15,10,4.92,4.92 (13),7,https://www.airbnb.com/rooms/1075633672647192884?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,61,0.7176470588,12,12,24,0.2823529412,,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,,TRUE,TRUE,,TRUE,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1030,460,0,570,0,0,0,0,0,1158189338967853347,Apartment in Itagüi,01/18/25 - 01/21/25,97,23,18,5,5.0 (6),1,https://www.airbnb.com/rooms/1158189338967853347?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,83,0.8556701031,0,14,14,0.1443298969,,TRUE,,TRUE,TRUE,,,TRUE,,FALSE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1030,500,0,530,0,0,0,0,0,855266872811779694,Apartment in Envigado,01/18/25 - 01/21/25,85,15,12,4.9,4.9 (62),9,https://www.airbnb.com/rooms/855266872811779694?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,22,3,66,0.7764705882,7,12,19,0.2235294118,,TRUE,,TRUE,TRUE,TRUE,,TRUE,,FALSE,,TRUE,,,TRUE,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
