rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Washer,Patio or balcony,Carbon monoxide alarm,Smoke alarm,Guest favorite,Hair dryer,Mabe refrigerator,Microwave,Smoking allowed,Courtyard view,Free street parking,Elevator,Exterior security cameras on property,Air conditioning,Superhost,TV with standard cable,Luggage dropoff allowed,Refrigerator,Shared hot tub - available all year,open specific hours,Shared sauna,Hot tub,50 inch HDTV with Netflix,Paid dryer – In building,Fast wifi – 321 Mbps,40 inch HDTV,Free washer – In unit,Private patio or balcony,Samsung refrigerator,Long term stays allowed,Free dryer – In unit,Pool,Crib,Indoor fireplace,City skyline view,Valley view,Wifi – 33 Mbps,Free parking garage on premises – 1 space,55 inch HDTV with Netflix,Sauna,Mountain view,Fast wifi – 396 Mbps,HDTV with Netflix,Free residential garage on premises – 1 space,AC - split type ductless system,Fast wifi – 77 Mbps,Shared hot tub - available all year,Free carport on premises – 1 space,21 inch TV with Disney+,standard cable,Roku,Fast wifi – 567 Mbps,Paid washer – In building,Garden view,43 inch HDTV with standard cable,Fast wifi – 280 Mbps,HDTV with standard cable,Shared pool,Free washer – In building,Shared backyard – Not fully fenced,Fast wifi – 296 Mbps,HDTV with Disney+,Roku,Dryer,Free residential garage on premises,HDTV with premium cable,Netflix,Amazon Prime Video,Disney+,55 inch HDTV with Amazon Prime Video,Netflix,standard cable,Shared outdoor pool - available all year,open specific hours,lap pool,Private hot tub,55 inch HDTV with Chromecast,Disney+,Netflix,32 inch TV with standard cable,Paid street parking off premises,Backyard,Shared outdoor pool - open specific hours,rooftop,43 inch HDTV with Netflix,Private backyard – Fully fenced,43 inch HDTV with Netflix,standard cable,Fast wifi – 249 Mbps,Free carport on premises – 2 spaces,Shared outdoor pool - available all year,open specific hours,43 inch HDTV,32 inch HDTV with Netflix,standard cable,55 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,premium cable,standard cable,Children’s books and toys,Free driveway parking on premises,Private hot tub - available all year,open 24 hours,43 inch HDTV with standard cable,Amazon Prime Video,Disney+,Netflix,HBO Max,Free dryer – In building,32 inch HDTV with premium cable,TV with Netflix,MABE refrigerator,Fast wifi – 252 Mbps,Free carport on premises,Fast wifi – 95 Mbps,42 inch HDTV,Crib - available upon request,Fast wifi – 192 Mbps,43 inch HDTV with Netflix,premium cable,standard cable,Fast wifi – 83 Mbps,Park view,Fast wifi – 52 Mbps,Shared outdoor pool - available all year,open specific hours,heated,Washer – In building,Fast wifi – 94 Mbps,50 inch HDTV,Paid parking on premises,Children’s books and toys for ages 0-2 years old,2-5 years old,5-10 years old,and 10+ years old,55 inch HDTV with standard cable,Dryer – In unit
1,1293,440,0,375,0,4,4,0,470,1045178939490689251,Loft in Itagüi,01/18/25 - 01/21/25,74,7,4,4.8,4.8 (5),20,https://www.airbnb.com/rooms/1045178939490689251?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,17,3,50,0.6756756757,14,10,24,0.3243243243,1 double bed,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1283,335,0,470,0,4,4,0,470,1310157815739952582,Apartment in Medellín,01/18/25 - 01/21/25,132,28,26,5,5.0 (5),1,https://www.airbnb.com/rooms/1310157815739952582?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,42,3,161,1.21969697,7,0,7,0.05303030303,,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,FALSE,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1198,315,0,405,0,4,4,0,470,772250344220386576,Apartment in Envigado,01/18/25 - 01/21/25,138,32,17,4.86,4.86 (22),14,https://www.airbnb.com/rooms/772250344220386576?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,33,3,100,0.7246376812,19,19,38,0.2753623188,,,TRUE,TRUE,TRUE,,,,TRUE,,FALSE,FALSE,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1173,225,0,470,0,4,4,0,470,1267397063698233160,Apartment in Itagüi,01/18/25 - 01/21/25,187,50,27,5,5.0 (4),1,https://www.airbnb.com/rooms/1267397063698233160?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,44,3,138,0.7379679144,30,26,56,0.2994652406,,,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1138,260,0,400,0,4,4,0,470,1162338280209067856,Loft in Medellín,01/18/25 - 01/21/25,174,43,37,4.85,4.85 (39),15,https://www.airbnb.com/rooms/1162338280209067856?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,58,3,174,1,0,0,0,0,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1128,275,0,375,0,4,4,0,470,50960242,Apartment in Sabaneta,01/18/25 - 01/21/25,167,40,26,4.8,4.8 (79),20,https://www.airbnb.com/rooms/50960242?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,42,3,126,0.754491018,20,21,41,0.245508982,,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,FALSE,FALSE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1128,310,0,340,0,4,4,0,470,44324874,Loft in Medellín,01/18/25 - 01/21/25,144,33,30,4.69,4.69 (298),27,https://www.airbnb.com/rooms/44324874?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,48,3,144,1,0,0,0,0,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,TRUE,,TRUE,TRUE,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1123,235,0,410,0,4,4,0,470,53755520,Loft in Medellín,01/18/25 - 01/21/25,180,48,39,4.87,4.87 (260),13,https://www.airbnb.com/rooms/53755520?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,60,3,180,1,0,0,0,0,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1118,250,0,390,0,4,4,0,470,53710693,Loft in Medellín,01/18/25 - 01/21/25,176,45,38,4.83,4.83 (206),17,https://www.airbnb.com/rooms/53710693?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,59,3,176,1,0,0,0,0,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1103,215,0,410,0,4,4,0,470,47850284,Condo in Itagüi,01/18/25 - 01/21/25,189,52,42,4.87,4.87 (141),13,https://www.airbnb.com/rooms/47850284?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,63,3,189,1,0,0,0,0,,,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1073,200,0,395,0,4,4,0,470,51978429,Loft in Medellín,01/18/25 - 01/21/25,196,55,43,4.84,4.84 (2672),16,https://www.airbnb.com/rooms/51978429?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,65,3,265,1.352040816,0,0,0,0,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
