,rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,Kitchen,Wifi,Dedicated workspace,Pets allowed,TV,Portable air conditioning,Luggage dropoff allowed,Microwave,Exterior security cameras on property,Carbon monoxide alarm,Superhost,guest_favorite,Free street parking,Elevator,Long term stays allowed,Smoke alarm,Guest favorite,Washer,Air conditioning,Haceb refrigerator,Fast wifi – 94 Mbps,Hair dryer,Free parking on premises,Backyard,Crib,Refrigerator,Private patio or balcony,City skyline view,Fast wifi – 599 Mbps,Smoking allowed,Hot tub,Paid washer – In building,Paid dryer – In building,Dryer,Mountain view,Free washer – In unit,TV with standard cable,LG refrigerator,32 inch HDTV with Netflix,AC - split type ductless system,Garden view,Free carport on premises,56 inch HDTV with standard cable,Central air conditioning,Shared patio or balcony,Fast wifi – 240 Mbps,Shared indoor pool - available seasonally,open specific hours,Courtyard view,Wifi – 28 Mbps,32 inch HDTV,High chair,Fast wifi – 164 Mbps,Shared outdoor pool - available all year,open specific hours,rooftop,43 inch HDTV with Netflix,premium cable,HDTV,Free parking garage on premises – 1 space,40 inch HDTV,Fast wifi – 200 Mbps,HDTV with standard cable,Free dryer – In unit,Park view,Fast wifi – 510 Mbps,Free washer – In building,Fast wifi – 235 Mbps,55 inch HDTV,Fast wifi – 463 Mbps,43 inch HDTV with HBO Max,Netflix,standard cable,Private backyard – Fully fenced,Patio or balcony,Free driveway parking on premises – 3 spaces,HDTV with Netflix,Shared hot tub,Fast wifi – 185 Mbps,55 inch HDTV with Netflix,43 inch HDTV,Shared sauna,Fast wifi – 60 Mbps,32 inch TV,Shared backyard – Not fully fenced,Fast wifi – 231 Mbps,Free dryer – In building,42 inch HDTV with Netflix,50 inch HDTV with Netflix,standard cable,Private hot tub - available all year,open 24 hours,43 inch HDTV with Amazon Prime Video,Netflix,standard cable,Fast wifi – 140 Mbps,TV with Netflix,standard cable,Wifi – 35 Mbps,58 inch HDTV with Netflix,standard cable,Window AC unit,45 inch HDTV with Netflix,Amazon Prime Video,Chromecast,55 inch TV with Netflix,standard cable,Wifi – 31 Mbps,32 inch HDTV with premium cable,Shared outdoor pool - available all year,open specific hours,lap pool,Private hot tub,55 inch HDTV with Chromecast,Disney+,Netflix,Fast wifi – 466 Mbps,Free residential garage on premises,Private backyard,Fast wifi – 105 Mbps,43 inch HDTV with Netflix,43 inch HDTV with Amazon Prime Video,Disney+,Netflix,Fast wifi – 187 Mbps,35 inch HDTV with premium cable,47 inch TV with standard cable,Free dryer,32 inch HDTV with Fire TV,standard cable,Bathtub,Shared hot tub - available all year,open specific hours,43 inch HDTV with Netflix,standard cable,Fast wifi – 249 Mbps,Free carport on premises – 2 spaces,Shared outdoor pool - available all year,open specific hours,25 inch TV,TV with Netflix,Fast wifi – 59 Mbps,HDTV with Amazon Prime Video,Disney+,Netflix,Free driveway parking on premises,HDTV with Chromecast,40 inch HDTV with Amazon Prime Video,Chromecast,Netflix,43 inch HDTV with standard cable,Amazon Prime Video,Disney+,Netflix,HBO Max,43 inch HDTV with standard cable,Pack ’n play/Travel crib,60 inch HDTV with Netflix,Fast wifi – 379 Mbps,Washer – In building,Free driveway parking on premises – 2 spaces,Fast wifi – 52 Mbps,40 inch HDTV with Fire TV,Roku,Fast wifi – 206 Mbps,Paid parking on premises,43 inch HDTV with Netflix,premium cable,standard cable,Fast wifi – 131 Mbps,40 inch TV with standard cable,Netflix,DVD player,Paid washer,Paid dryer,Mabe refrigerator,Fast wifi – 263 Mbps,32 inch HDTV with standard cable,Fast wifi – 217 Mbps,50 inch TV,60 inch HDTV with standard cable,Standalone high chair - always at the listing,43 inch TV,Fast wifi – 93 Mbps,Pool - open 24 hours,rooftop,Fast wifi – 205 Mbps,Challenger refrigerator,Paid parking lot on premises – 1 space,Fast wifi – 475 Mbps,Dryer – In unit,Free residential garage on premises – 1 space,43 inch TV with Netflix,49 inch TV with Netflix,Pool,Paid parking lot off premises,Sound system
,1,2260,1115,0,1145,0,0,0,0,0,1051056568816299198,,,,Apartment in Laureles,01/18/25 - 01/21/25,70,7,5,5,5.0 (4),1,https://www.airbnb.com/rooms/1051056568816299198?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,60,0.8571428571,0,10,10,0.1428571429,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,2240,1130,0,1110,0,0,0,0,0,798423531472416367,,,,Apartment in Belén,01/18/25 - 01/21/25,66,4,2,4.92,4.92 (39),8,https://www.airbnb.com/rooms/798423531472416367?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,16,3,48,0.7272727273,9,9,18,0.2727272727,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,FALSE,,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,2240,1140,0,1100,0,0,0,0,0,14463839,,,,Apartment in Medellín,01/18/25 - 01/21/25,64,2,3,4.9,4.9 (288),10,https://www.airbnb.com/rooms/14463839?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,55,0.859375,0,9,9,0.140625,1 double bed,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,FALSE,,TRUE,TRUE,,,FALSE,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,2235,1120,0,1115,0,0,0,0,0,508618914062587342,,,,Apartment in Laureles,01/18/25 - 01/21/25,68,6,4,4.93,4.93 (43),7,https://www.airbnb.com/rooms/508618914062587342?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,19,3,56,0.8235294118,2,10,12,0.1764705882,2 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,FALSE,,TRUE,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,2185,1080,0,1105,0,0,0,0,0,1006408354418468440,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,80,14,8,4.91,4.91 (46),9,https://www.airbnb.com/rooms/1006408354418468440?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,69,0.8625,0,11,11,0.1375,,TRUE,TRUE,,TRUE,,,TRUE,,,FALSE,,TRUE,TRUE,,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,2180,1080,0,1100,0,0,0,0,0,1087236258363123766,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,80,14,4,4.9,4.9 (30),10,https://www.airbnb.com/rooms/1087236258363123766?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,19,3,77,0.9625,11,11,22,0.275,,TRUE,,TRUE,TRUE,,,,,,FALSE,,TRUE,TRUE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,2180,1095,0,1085,0,0,0,0,0,883373477188295804,,,,Apartment in Medellín,01/18/25 - 01/21/25,77,11,4,4.87,4.87 (120),13,https://www.airbnb.com/rooms/883373477188295804?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,19,3,57,0.7402597403,9,11,20,0.2597402597,1 bed,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,TRUE,,,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,2180,1115,0,1065,0,0,0,0,0,832066914672456996,,,,Apartment in Medellín,01/18/25 - 01/21/25,70,7,5,4.83,4.83 (83),17,https://www.airbnb.com/rooms/832066914672456996?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,60,0.8571428571,0,10,10,0.1428571429,,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,2175,1050,0,1125,0,0,0,0,0,960221971109966772,,,,Loft in La América,01/18/25 - 01/21/25,88,20,8,4.95,4.95 (58),5,https://www.airbnb.com/rooms/960221971109966772?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,70,0.7954545455,9,11,20,0.2272727273,1 double bed,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,FALSE,,TRUE,,,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,2170,1065,0,1105,0,0,0,0,0,1212556363810614216,,,,Apartment in Medellín,01/18/25 - 01/21/25,84,17,5,4.91,4.91 (11),9,https://www.airbnb.com/rooms/1212556363810614216?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,61,0.7261904762,11,12,23,0.2738095238,2 queen beds,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,TRUE,TRUE,,,FALSE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
