rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,rare_find,Kitchen,Fast wifi – 211 Mbps,Dedicated workspace,Free parking on premises,Pets allowed,65 inch HDTV with standard cable,Elevator,Free washer – In unit,Carbon monoxide alarm,Smoke alarm,Wifi,TV,Air conditioning,Refrigerator,HDTV with Netflix,Dryer,Central air conditioning,Luggage dropoff allowed,Hair dryer,Exterior security cameras on property,City skyline view,Mountain view,Fast wifi – 407 Mbps,Shared outdoor pool - available all year,open specific hours,heated,infinity,rooftop,Shared hot tub - available all year,open specific hours,Fast wifi – 447 Mbps,Free carport on premises – 1 space,Shared outdoor pool - available all year,open specific hours,heated,infinity,Paid dryer – In building,Microwave,Valley view,Fast wifi – 213 Mbps,Free street parking,43 inch HDTV with Netflix,Pool,Sauna,55 inch HDTV,Washer,Hot tub,Paid washer – In building,Private patio or balcony,Fast wifi – 293 Mbps,AC - split type ductless system,Fast wifi – 86 Mbps,Shared outdoor pool - available all year,open specific hours,heated,Shared hot tub,Bathtub,Fast wifi – 101 Mbps,Fast wifi – 55 Mbps,Fast wifi – 342 Mbps,Private hot tub,55 inch HDTV with standard cable,Garden view,Fast wifi – 446 Mbps,Private hot tub - available all year,open 24 hours,Fast wifi – 223 Mbps,55 inch HDTV with Netflix,Shared outdoor pool - available all year,open specific hours,heated,infinity,lap pool,rooftop,60 inch HDTV with standard cable,Park view,Shared outdoor pool - available all year,open specific hours,infinity,54 inch HDTV with Netflix,Private hot tub - available all year,Shared pool,Shared sauna,42 inch HDTV with standard cable,Free dryer – In unit,50 inch HDTV,Fast wifi – 560 Mbps,Fast wifi – 576 Mbps,60 inch HDTV with Netflix,Amazon Prime Video,Patio or balcony,Fast wifi – 200 Mbps,HDTV with standard cable,Fast wifi – 567 Mbps,TV with standard cable,HDTV,Free residential garage on premises – 1 space,Free driveway parking on premises – 3 spaces,Free washer – In building,Fast wifi – 300 Mbps,Fast wifi – 327 Mbps,50 inch HDTV with Amazon Prime Video,HBO Max,Netflix,premium cable,Free parking garage on premises – 1 space,Fast wifi – 60 Mbps,Free driveway parking on premises – 1 space,140 inch HDTV with HBO Max,Netflix,DVD player,Fast wifi – 165 Mbps,Fast wifi – 157 Mbps,Shared outdoor pool - available all year,heated,Fast wifi – 506 Mbps,Fast wifi – 328 Mbps,65 inch HDTV with Netflix,65 inch HDTV,Fast wifi – 133 Mbps,Free residential garage on premises,40 inch HDTV with Chromecast,standard cable,42 inch HDTV,Free carport on premises,47 inch TV with standard cable,Fast wifi – 59 Mbps,Long term stays allowed,42 inch HDTV with Netflix,Fast wifi – 413 Mbps,49 inch HDTV with Netflix,HDTV with Netflix,standard cable,Fast wifi – 346 Mbps,Free parking garage on premises,Fast wifi – 237 Mbps,Fast wifi – 378 Mbps,43 inch HDTV,Shared outdoor pool - available all year,open specific hours,Shared outdoor pool - available all year,open specific hours,lap pool,43 inch TV with Disney+,Netflix,Free dryer – In building,Courtyard view,70 inch HDTV with Netflix,standard cable,Fast wifi – 379 Mbps,32 inch HDTV with Fire TV,Netflix,premium cable,50 inch HDTV with Netflix,Fast wifi – 104 Mbps,Shared outdoor pool - available all year,open specific hours,rooftop,43 inch HDTV with Netflix,standard cable,Backyard,High chair,Fast wifi – 302 Mbps,Gym,32 inch HDTV with standard cable,Shared patio or balcony,Fast wifi – 162 Mbps,Fast wifi – 412 Mbps,40 inch TV with Netflix,Washer – In unit,43 inch HDTV with Netflix,standard cable,Disney+,HDTV with Netflix,premium cable,HDTV with standard cable,Amazon Prime Video,Netflix,Portable air conditioning,Fast wifi – 238 Mbps,52 inch HDTV,32 inch HDTV with premium cable,Haceb refrigerator,Paid parking on premises
1,2386,660,545,645,0,4,532,1131342709207728026,Loft in Laureles-Estadio,01/18/25 - 01/21/25,0,1,24,4.97,4.97 (31),4,https://www.airbnb.com/rooms/1131342709207728026?room_types%5B%5D=Entire%20home%2Fapt,52,0,0,NaN,0,0,0,NaN,,1,FALSE,TRUE,,TRUE,,,,TRUE,,,,TRUE,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1841,-5,650,660,0,4,532,899158540253385620,Apartment in Envigado,01/18/25 - 01/21/25,0,134,3,5,5.0 (17),1,https://www.airbnb.com/rooms/899158540253385620?room_types%5B%5D=Entire%20home%2Fapt,23,0,0,NaN,0,0,0,NaN,1 double bed,2,FALSE,TRUE,,TRUE,,TRUE,,,TRUE,FALSE,FALSE,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1831,-5,640,660,0,4,532,1110121033106163334,Apartment in medellin,01/18/25 - 01/21/25,0,134,5,5,5.0 (9),1,https://www.airbnb.com/rooms/1110121033106163334?room_types%5B%5D=Entire%20home%2Fapt,28,0,0,NaN,0,0,0,NaN,1 bed,3,FALSE,TRUE,,TRUE,,TRUE,,,,FALSE,FALSE,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1826,-5,635,660,0,4,532,1185561550634852669,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,0,134,6,5,5.0 (12),1,https://www.airbnb.com/rooms/1185561550634852669?room_types%5B%5D=Entire%20home%2Fapt,30,0,0,NaN,0,0,0,NaN,1 queen bed,4,FALSE,,,,,,,TRUE,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1816,-5,625,660,0,4,532,1010383342834348075,Apartment in Medellín,01/18/25 - 01/21/25,0,134,8,5,5.0 (14),1,https://www.airbnb.com/rooms/1010383342834348075?room_types%5B%5D=Entire%20home%2Fapt,33,0,0,NaN,0,0,0,NaN,,5,FALSE,TRUE,,TRUE,,,,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1811,-5,620,660,0,4,532,1010279380824664920,Apartment in Medellín,01/18/25 - 01/21/25,0,134,9,5,5.0 (11),1,https://www.airbnb.com/rooms/1010279380824664920?room_types%5B%5D=Entire%20home%2Fapt,34,0,0,NaN,0,0,0,NaN,,6,FALSE,TRUE,,TRUE,,,,TRUE,,,,TRUE,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1806,-5,615,660,0,4,532,786269766112083698,Apartment in Medellín,01/18/25 - 01/21/25,0,134,10,5,5.0 (24),1,https://www.airbnb.com/rooms/786269766112083698?room_types%5B%5D=Entire%20home%2Fapt,35,0,0,NaN,0,0,0,NaN,2 beds,7,FALSE,TRUE,,TRUE,,,,,,FALSE,FALSE,,,,,,,,,,TRUE,,TRUE,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1806,-5,615,660,0,4,532,1008901449356771953,Apartment in Medellín,01/18/25 - 01/21/25,0,134,10,5,5.0 (10),1,https://www.airbnb.com/rooms/1008901449356771953?room_types%5B%5D=Entire%20home%2Fapt,35,0,0,NaN,0,0,0,NaN,,8,FALSE,TRUE,,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1796,-5,630,635,0,4,532,1078555209451476085,Apartment in Medellín,01/18/25 - 01/21/25,0,134,7,4.95,4.95 (19),6,https://www.airbnb.com/rooms/1078555209451476085?room_types%5B%5D=Entire%20home%2Fapt,32,0,0,NaN,0,0,0,NaN,1 double bed,9,FALSE,TRUE,,TRUE,,,,,,FALSE,FALSE,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1786,-5,615,640,0,4,532,1049495384582433507,Guesthouse in Envigado,01/18/25 - 01/21/25,0,134,10,4.96,4.96 (24),5,https://www.airbnb.com/rooms/1049495384582433507?room_types%5B%5D=Entire%20home%2Fapt,35,0,0,NaN,0,0,0,NaN,1 queen bed,10,FALSE,TRUE,,TRUE,,,,,,FALSE,FALSE,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
