rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,,City skyline view,Mountain view,Kitchen,Fast wifi – 200 Mbps,Dedicated workspace,Free parking on premises,Pool,Hot tub,Shared sauna,Pets allowed,Wifi,TV with Fire TV,Elevator,Washer,Carbon monoxide alarm,Smoke alarm,Fast wifi – 481 Mbps,Exterior security cameras on property,75 inch HDTV with Amazon Prime Video,HBO Max,Hulu,Netflix,Free washer – In unit,Free dryer – In unit,Wifi – 11 Mbps,Private outdoor pool - available all year,open 24 hours,heated,Private hot tub - available all year,Fast wifi – 396 Mbps,Free parking garage on premises – 1 space,Garden view,Private hot tub,Sauna,TV,Shared outdoor pool - available all year,open specific hours,heated,infinity,lap pool,rooftop,Shared hot tub,60 inch HDTV with standard cable,Shared pool,42 inch HDTV with standard cable,55 inch HDTV with Netflix,Air conditioning,Fast wifi – 560 Mbps,Private hot tub - available all year,open 24 hours,Fast wifi – 576 Mbps,Free street parking,Dryer,Free residential garage on premises – 1 space,TV with standard cable,Private patio or balcony,Luggage dropoff allowed,Paid parking on premises
1,326,90,85,75,0,undefined,76,1267570302224081748,Loft in Laureles-Estadio,01/18/25 - 01/21/25,0,1,2,4.96,4.96 (24),4,https://www.airbnb.com/rooms/1267570302224081748,44,0,0,NaN,0,0,0,NaN,1 queen bed,1,,,,TRUE,,TRUE,,,,,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,321,90,65,90,0,undefined,76,821354261597309682,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,0,1,6,5,5.0 (32),1,https://www.airbnb.com/rooms/821354261597309682,81,0,0,NaN,0,0,0,NaN,,2,,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,316,90,60,90,0,undefined,76,1252341312991353359,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,0,1,7,5,5.0 (8),1,https://www.airbnb.com/rooms/1252341312991353359,83,0,0,NaN,0,0,0,NaN,2 beds,3,,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,316,90,80,70,0,undefined,76,807163850300957760,Loft in El Poblado,01/18/25 - 01/21/25,0,1,3,4.94,4.94 (32),5,https://www.airbnb.com/rooms/807163850300957760,55,0,0,NaN,0,0,0,NaN,,4,,TRUE,,TRUE,,TRUE,,,,,,TRUE,,TRUE,,FALSE,FALSE,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,
5,316,90,90,60,0,undefined,76,15889272,Apartment in Belén,01/18/25 - 01/21/25,0,1,1,4.91,4.91 (171),7,https://www.airbnb.com/rooms/15889272,19,0,0,NaN,0,0,0,NaN,3 beds,5,,,TRUE,TRUE,,,,,,,,TRUE,,,,FALSE,FALSE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,TRUE,TRUE,,,,,,,,,,,
6,311,90,70,75,0,undefined,76,569013406988758799,Vacation home in El Poblado,01/18/25 - 01/21/25,0,1,5,4.96,4.96 (105),4,https://www.airbnb.com/rooms/569013406988758799,65,0,0,NaN,0,0,0,NaN,,6,,,,TRUE,,TRUE,TRUE,,,,TRUE,TRUE,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,
7,311,90,75,70,0,undefined,76,1259483757806834544,Loft in Laureles-Estadio,01/18/25 - 01/21/25,0,1,4,4.94,4.94 (16),5,https://www.airbnb.com/rooms/1259483757806834544,57,0,0,NaN,0,0,0,NaN,,7,,,,TRUE,,TRUE,,,TRUE,,,TRUE,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,
8,311,90,90,55,0,undefined,76,1323305627409536567,Apartment in La Candelaria,01/18/25 - 01/21/25,0,1,1,,New,8,https://www.airbnb.com/rooms/1323305627409536567,19,0,0,NaN,0,0,0,NaN,1 bed,8,,,,TRUE,,TRUE,,,,,TRUE,TRUE,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,
9,306,90,50,90,0,undefined,76,1097963184618699077,Condo in El Poblado,01/18/25 - 01/21/25,0,1,9,5,5.0 (49),1,https://www.airbnb.com/rooms/1097963184618699077,125,0,0,NaN,0,0,0,NaN,,9,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,,,,,,FALSE,FALSE,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,301,90,45,90,0,undefined,76,1205990515276058244,Condo in El Poblado,01/18/25 - 01/21/25,0,1,10,5,5.0 (28),1,https://www.airbnb.com/rooms/1205990515276058244,126,0,0,NaN,0,0,0,NaN,,10,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,TRUE,,,,,FALSE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,301,90,55,80,0,undefined,76,48707353,Condo in El Poblado,01/18/25 - 01/21/25,0,1,8,4.97,4.97 (137),3,https://www.airbnb.com/rooms/48707353,100,0,0,NaN,0,0,0,NaN,,11,,TRUE,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,
12,281,90,25,90,0,undefined,76,1265912049395735226,Apartment in El Poblado,01/18/25 - 01/21/25,0,1,14,5,5.0 (7),1,https://www.airbnb.com/rooms/1265912049395735226,190,0,0,NaN,0,0,0,NaN,,12,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,281,90,40,75,0,undefined,76,980063476653688717,Apartment in El Poblado,01/18/25 - 01/21/25,0,1,11,4.96,4.96 (78),4,https://www.airbnb.com/rooms/980063476653688717,151,0,0,NaN,0,0,0,NaN,,13,,,,,,TRUE,TRUE,,,,TRUE,,,,,FALSE,FALSE,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,,,,,
14,271,90,20,85,0,undefined,76,1080481812349684473,Apartment in Laureles,01/18/25 - 01/21/25,0,1,15,4.98,4.98 (47),2,https://www.airbnb.com/rooms/1080481812349684473,217,0,0,NaN,0,0,0,NaN,3 beds,14,,,,TRUE,,TRUE,,,,,,TRUE,,TRUE,,,,,TRUE,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,271,90,30,75,0,undefined,76,933659507338409276,Apartment in El Poblado,01/18/25 - 01/21/25,0,1,13,4.96,4.96 (83),4,https://www.airbnb.com/rooms/933659507338409276,159,0,0,NaN,0,0,0,NaN,,15,,,,TRUE,,TRUE,TRUE,,,,TRUE,,,,,FALSE,FALSE,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,
16,266,90,10,90,0,undefined,76,903565529664202729,Home in Medellín,01/18/25 - 01/21/25,0,1,17,5,5.0 (65),1,https://www.airbnb.com/rooms/903565529664202729,550,0,0,NaN,0,0,0,NaN,5 beds,16,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,TRUE,,,,,,,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,266,90,15,85,0,undefined,76,45970483,Apartment in El Poblado,01/18/25 - 01/21/25,0,1,16,4.98,4.98 (132),2,https://www.airbnb.com/rooms/45970483,250,0,0,NaN,0,0,0,NaN,2 beds,17,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
