rank,totalRankScore,priceRankScore,reviewRankScore,id,title,dates,totalPrice,totalPriceRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,priceRank,Kitchen,Wifi,Dedicated workspace,TV,Washer,Free dryer – In unit,Air conditioning,Private patio or balcony,Carbon monoxide alarm,Smoke alarm,Free parking on premises,Pets allowed,Backyard,TV with standard cable,Luggage dropoff allowed,Refrigerator,Elevator,Paid dryer – In building,Microwave,Exterior security cameras on property,Pool,Hot tub,Free street parking,City skyline view,Mountain view,Fast wifi – 77 Mbps,Free washer – In unit,Free residential garage on premises – 1 space,AC - split type ductless system,Fast wifi – 567 Mbps,Paid washer – In building,Free parking garage on premises – 1 space,40 inch HDTV,Dryer,HDTV with standard cable,Shared hot tub - available all year,open specific hours,HDTV with standard cable,Amazon Prime Video,Disney+,HBO Max,Netflix,Free washer – In building
1,180,90,90,1198709488154080626,Apartment in Sabaneta,01/18/25 - 01/21/25,107,1,5,5.0 (23),1,https://www.airbnb.com/rooms/1198709488154080626?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,74,0.691588785,20,13,33,0.308411215,1 bed,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,175,85,90,1080734644084993575,Apartment in Medellín,01/18/25 - 01/21/25,113,2,5,5.0 (19),1,https://www.airbnb.com/rooms/1080734644084993575?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,32,3,97,0.8584070796,0,16,16,0.1415929204,,2,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,160,75,85,776030602477094820,Apartment in Las Lomitas,01/18/25 - 01/21/25,130,4,4.98,4.98 (46),2,https://www.airbnb.com/rooms/776030602477094820?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,33,3,98,0.7538461538,14,18,32,0.2461538462,2 beds,3,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,TRUE,,,,,,,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,
4,155,80,75,1267570302224081748,Loft in Medellín,01/18/25 - 01/21/25,129,3,4.96,4.96 (24),4,https://www.airbnb.com/rooms/1267570302224081748?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,43,3,129,1,0,0,0,0,,4,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,,TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
5,145,70,75,1049495384582433507,Guesthouse in Envigado,01/18/25 - 01/21/25,135,5,4.96,4.96 (24),4,https://www.airbnb.com/rooms/1049495384582433507?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,102,0.7555555556,14,19,33,0.2444444444,,5,TRUE,,TRUE,TRUE,,,TRUE,,FALSE,FALSE,,,,,,,,TRUE,,TRUE,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,
6,135,45,90,1215240162994784824,Apartment in Medellín,01/18/25 - 01/21/25,155,10,5,5.0 (10),1,https://www.airbnb.com/rooms/1215240162994784824?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,39,3,118,0.7612903226,15,22,37,0.2387096774,1 bed,6,TRUE,TRUE,TRUE,,TRUE,,TRUE,,FALSE,FALSE,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,125,60,65,1126228362113426388,Loft in Medellín,01/18/25 - 01/21/25,145,7,4.91,4.91 (22),6,https://www.airbnb.com/rooms/1126228362113426388?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,36,3,109,0.7517241379,16,20,36,0.2482758621,2 beds,7,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,,TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
8,120,30,90,1263769456381535784,Apartment in Medellín,01/18/25 - 01/21/25,169,13,5,5.0 (12),1,https://www.airbnb.com/rooms/1263769456381535784?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,50,3,165,0.9763313609,0,21,21,0.124260355,,8,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,
9,115,25,90,1267397063698233160,Apartment in Itagüi,01/18/25 - 01/21/25,172,14,5,5.0 (4),1,https://www.airbnb.com/rooms/1267397063698233160?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,39,3,136,0.7906976744,30,24,54,0.3139534884,,9,TRUE,TRUE,,TRUE,TRUE,,,,,,TRUE,TRUE,,,,,TRUE,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,
10,115,40,75,10450836,Apartment in Medellín,01/18/25 - 01/21/25,163,11,4.96,4.96 (24),4,https://www.airbnb.com/rooms/10450836?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,41,3,123,0.754601227,20,20,40,0.245398773,,10,TRUE,TRUE,,,,,,,FALSE,FALSE,,TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,
