rank,totalRankScore,priceRankScore,reviewRankScore,id,title,dates,totalPrice,totalPriceRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,priceRank,Mountain view,Park view,Kitchen,Wifi,Dedicated workspace,Free street parking,Pets allowed,50 inch HDTV with Netflix,Carbon monoxide alarm,Smoke alarm,Free parking on premises,Pool,TV,Washer,Microwave,Exterior security cameras on property,Air conditioning,Hot tub,Valley view,Wifi – 16 Mbps,HDTV
4,130,80,50,802347501057179925,Loft in Ibagué,01/18/25 - 01/21/25,85,1,4.71,4.71 (7),7,https://www.airbnb.com/rooms/802347501057179925?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.8,5,12,17,0.2,2 beds,4,true,true,true,true,true,true,true,true,false,false,,,,,,,,,,,
2,145,65,80,1163937649764036669,Apartment in Ibagué,01/18/25 - 01/21/25,114,4,4.67,4.67 (6),1,https://www.airbnb.com/rooms/1163937649764036669?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,33,3,98,0.8596491228070176,0,16,16,0.14035087719298245,2 beds,2,,,true,true,true,,true,,false,false,true,true,true,,,,,,,,
10,90,45,45,1112351467103981520,Apartment in Ibagué,01/18/25 - 01/21/25,143,8,4.55,4.55 (11),8,https://www.airbnb.com/rooms/1112351467103981520?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,41,3,123,0.8601398601398601,0,20,20,0.13986013986013987,2 beds,10,,,true,true,,,true,,false,false,true,,true,true,true,true,,,,,
11,90,50,40,45970435,Apartment in Ibagué,01/18/25 - 01/21/25,137,7,4.33,4.33 (21),9,https://www.airbnb.com/rooms/45970435?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,46,3,137,1,0,0,0,0,,11,,,true,true,true,,true,,false,false,true,,true,true,,true,,,,,
1,150,75,75,1279742105265713437,Apartment in Ibagué,01/18/25 - 01/21/25,94,2,,New,2,https://www.airbnb.com/rooms/1279742105265713437?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,24,3,72,0.7659574468085106,9,13,22,0.23404255319148937,,1,,,true,true,true,,,,false,false,true,true,true,,,,,,,,
3,140,70,70,1076859102078744907,Apartment in Ibagué,01/18/25 - 01/21/25,98,3,,,3,https://www.airbnb.com/rooms/1076859102078744907?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,75,0.7653061224489796,9,14,23,0.23469387755102042,,3,,,true,true,,,true,,false,false,true,,true,true,,true,,,,,
5,130,70,60,921913641485989090,Apartment in Ibagué,01/18/25 - 01/21/25,98,3,,,5,https://www.airbnb.com/rooms/921913641485989090?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,75,0.7653061224489796,9,14,23,0.23469387755102042,,5,,,true,true,true,,true,,false,false,true,,true,true,,true,,,,,
7,100,70,30,1080551109985338562,Apartment in Ibagué,01/18/25 - 01/21/25,98,3,,,11,https://www.airbnb.com/rooms/1080551109985338562?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,75,0.7653061224489796,9,14,23,0.23469387755102042,,7,,,true,true,,,true,,false,false,true,,true,true,,true,,,,,
9,95,70,25,933336632516363471,Apartment in Ibagué,01/18/25 - 01/21/25,98,3,,,12,https://www.airbnb.com/rooms/933336632516363471?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,75,0.7653061224489796,9,14,23,0.23469387755102042,,9,,,true,true,,,,,false,false,,,true,true,,true,,,,,
12,80,60,20,1214442242879078016,Apartment in Ibagué,01/18/25 - 01/21/25,118,5,,,13,https://www.airbnb.com/rooms/1214442242879078016?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,101,0.8559322033898306,0,17,17,0.1440677966101695,,12,,,true,true,,,,,false,false,,,true,,,true,,,,,
6,120,55,65,1280685834401467493,Apartment in Ibagué,01/18/25 - 01/21/25,127,6,,New,4,https://www.airbnb.com/rooms/1280685834401467493?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,36,3,109,0.8582677165354331,0,18,18,0.14173228346456693,,6,,,true,true,,,,,false,false,,,true,,,true,,,,,
8,100,45,55,1280509383658148753,Apartment in Ibagué,01/18/25 - 01/21/25,143,8,,New,6,https://www.airbnb.com/rooms/1280509383658148753?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,41,3,123,0.8601398601398601,0,20,20,0.13986013986013987,,8,,,true,true,true,,,,false,false,,,true,true,,true,,,,,
14,50,40,10,1293566005450002768,Apartment in Ibagué,01/18/25 - 01/21/25,217,9,,New,15,https://www.airbnb.com/rooms/1293566005450002768?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,57,3,170,0.783410138248848,16,31,47,0.21658986175115208,,14,,,true,true,,,true,,false,false,true,,true,true,,,true,,,,
15,50,35,15,1267936800547097528,Apartment in Ibagué,01/18/25 - 01/21/25,230,10,,,14,https://www.airbnb.com/rooms/1267936800547097528?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,64,3,191,0.8304347826086956,7,32,39,0.16956521739130434,,15,,,true,true,true,,true,,,,true,true,true,true,,true,true,,,,
13,65,30,35,1226727889708620841,Apartment in Ibagué,01/18/25 - 01/21/25,406,11,,,10,https://www.airbnb.com/rooms/1226727889708620841?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,116,3,349,0.8596059113300493,0,57,57,0.14039408866995073,5 beds,13,,,true,true,,,true,,false,false,true,true,true,,,true,,true,,,
16,30,25,5,575586920664586723,Apartment in Ibagué,01/18/25 - 01/21/25,448,12,,,16,https://www.airbnb.com/rooms/575586920664586723?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,113,3,340,0.7589285714285714,45,63,108,0.24107142857142858,,16,true,,true,,true,,true,,false,false,,,,true,,,,,true,true,true
