Rank,Want It?,Total Score,Rating Score,Price Score,TV Score,Room Size Score,title,Like It,Message Sent,Responded,dates,url,Rating Rank,Rating,Price Rank,Total Price,Nightly Total,Discount,Fee Total,Rate,Nights,Nightly Total %,Cleaning Fee,Airbnb Fee,Fee Total %,beds,TV Rank,TV Size Grade (1-5),TV Size,TV2 Size,Room Size Rank,Room Size Grade (1-5),Sqm,Floor Score,Floor Rank,Floor,Location Score,Location Grade (1-5),Building Score,Building Grade (1-5),Building,Building Guess,Ceiling Height Grade (1-5),Ceiling Height,Airport Distance Grade (1-5),Airport,Hotels Nearby Score,Hotels Nearby?,Hotel Rate,Hotel Taxes,Hotel Fees,Hotel Total,Grocery Store Score,Grocery Store Rank,Grocery Grade (1-5),Groceries,Grocery 2,Restaurant Score,Restaurant Store Rank,Restaurant Grade (1-5),Restaurants,Restaurant 2,Mall Score,Mall Distance Rank,Mall Grade (1-5),Malls,Parks,Gym,Cinema,Attractions,# of Bedrooms,Balcony,AC,Pool,Self Checkin,Washer,Wifi,Essentials,Bathroom Appearance,Dedicated workspace,Can Cancel?,Luggage Dropoff,Check in Early Time?,Checkout Late Time?,Rules,Bus Terminal,Bus Terminal 2,Bus Terminal 3,San Gil (directions),Tours,Nearby Towns,Town 1,Town 2,Town 3,Town 4 ,Town 5,Gemini Suggestions,ChatGPT Suggestions,Claude Suggestions,Hospital,Apartment - 1 month,Apartment 2,Apartment 3,Apartment 4,Apartment 5,Apartment 6,Apartment 7,Police Statition,Parks,Cinema,Ping Table,AC,TV,Room Type Grade (1-5),Room Type,Self Checkin (digital lock),Comfortable?,Days you'd stay?,Similar to?,Free parking on premises,Baby bath - available upon request,Exterior security cameras on property,Carbon monoxide alarm,Smoke alarm,Guest favorite,City skyline view,Mountain view,Kitchen,infinity,rooftop,Superhost,Private hot tub,Elevator,Free parking garage on premises – 1 space,Completely Filled Out?,Summary (As Reflected in Scores),5/2,4 no-cancel/3 cancel,4/3 nights,3/4 nights,3 no-cancel/4 cancel,4/3 cancel,Reverse,Booked,Itinerary,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,,Other,Communa of this Airbnb,Barrios (Mas sur),Barrio 2,Barrio 3,Barrio 4 (Mas norte),Floridablanca barrios,Floridablanca alcadia mapa (download + zoom in because real small legend in top right),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Maybe,73,30,28,3,6,Vacation home in Floridablanca,No - Option 5,https://www.airbnb.com/guest/messages/2034161093,Yes,01/19/25 - 01/22/25,https://www.airbnb.com/rooms/53473844?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,5,4.74,4,144.81,111.30,0.00,33.51,37.10,3,76.85933292,13.11,20.40,23.14066708,2 beds,8,2,46,,8,,51,6,8,3,,,,5,Monteolivettos,,3,2.4,,Palenegro Airport (30 mins),,Sonesta (43 min),,,,,,,4,Ara (5 mins),,,,3,La Cazuela (41 mins),,,,,Caracoli (42 mins),Floridablanca's Park (15 mins),Bodytech (43 mins),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Almost,,,,,,,,,,,,,,,,,,,,Cañaveral (Floridablanca),Cabecera (Comuna 12),San Alonso (Oriental - communa 13),San Francisco (Comuna 3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Yes,92,40,16,2,20,Apartment in Bucaramanga,Yes - Option 1,https://www.airbnb.com/guest/messages/2034162240,Yes,01/19/25 - 01/22/25,https://www.airbnb.com/rooms/15598096?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,3,4.83,7,200.28,175.50,0.00,24.78,58.50,3,87.62732175,0.00,24.78,12.37267825,4 beds,9,2,45,,1,5,90,14,4,16,,,,,Germabia,,,,5,Palenegro (28 mins),,Holiday Inn (8 mins),73.86,50.14,0,266.69,,1,5,Exito (11 mins),,,,5,Restaurante 1622 (12 mins),,,1,5,Cacique Shopping Center (8 mins),Bosque de Lagos de Cacique Park (13 mins),Bodytech (9 mins),Cine Colombia (13 mins),Monumento Hormiga (7 mins),3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,OK,Yes,No,Yes,4:00 PM,11:00 AM,No Visitors,Bucaramanga Transport Terminal (11 mins by car),Berlinas (5 mins by car),Red Bus (30M / $7 cop to San Gil),3 hrs 42 mins (by bus),$24,,Barachara,Giron,Socorro,Zapatoca,Playa de Belen,Towns near bucaramanga (Failed),Towns near bucaramanga,Towns near bucaramanga,Santander University Hospital (8 mins by car),"$1,046 (Airbnb rent)","$82,711 (buy)","$1,080 (rent)",1050 (rent),"$1,170 (rent)",1200 (rent),2940 (rent),Skipped,Skipped,Skipped,No,,,,,,,,,,,,,,TRUE,,,,,,,,,,Almost,"Pricey, Comfortable - Excellent Location",$333.79,$267.04,$267.04,$200.28,$200.28,$267.04,$267.04,Yes,Cine,San Gil,Hormiga,Restaurant,Mall,Apartment Hunt,City Tour / Parque Square,,Pick up remitly at Exito,La Pedregosa (Communa 9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Maybe,73,40,12,9,4,Loft in Bucaramanga,No - Option 3,https://www.airbnb.com/guest/messages/2034162846,Yes,01/19/25 - 01/22/25,https://www.airbnb.com/rooms/1270516944319690753?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,3,4.83,8,204.92,195.72,0.00,9.20,65.24,3,95.5104431,9.20,0.00,4.4895569,2 beds,2,5,65,2,9,3,50,8,7,11,,,,,"Edificio Cedrella, barrio los cedros/ alto de pan de sugar",,,2.4,3,Palenegro (32 mins),5,Hotel Chicamocha (37 mins),,,,,,1,5,Exito (22 mins),,,,3,Restaurante Battuto (23 mins),El Viejo Chiflas (36 mins),,2,5,Centro Comercial Quinta Etapa (19 mins),Saint Pío Park (26 mins),Smart Fit (31 mins),Cine Colombia (25 mins),MUSEO GUA (55 mins),1,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Studio - Extended but with Balcony - Like Distrito 90,Yes,Yes,3,Distrito 90,,,,,,TRUE,,,,,,,,,,Yes,"Pricey, Small - Excellent TV, Excellent Location",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,No,73,15,8,10,20,Apartment in Bucaramanga,Yes,https://www.airbnb.com/guest/messages/2034163624,Yes,01/19/25 - 01/22/25,https://www.airbnb.com/rooms/53642173?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,8,4.69,9,313.82,225.00,0.00,88.82,75.00,3,71.69715123,50.00,38.82,28.30284877,8 beds,1,5,80,70,1,,90,20,1,35,,,,,INFINITY Sky Club,,,,,,,,,,,,,,5,Exito (16 mins),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,Yes,"Super Expensive - Best TV, Super Comfortable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Maybe,91,20,36,5,14,Apartment in Bucaramanga,Yes - Option 2,https://www.airbnb.com/guest/messages/2029801749,Yes,01/19/25 - 01/22/25,https://www.airbnb.com/rooms/707756958689793274?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,7,4.71,2,111.51,177.00,-65.49,0.00,59.00,3,158.7301587,0.00,0.00,0,2 double beds,6,5,55,49,4,3,60,16,3,17,,,,3,Strada Suites,,3,2.3,4,Palenegro airport (31 minutes),,Hotel Chicamoca (15 mins),,,,,,,4,Supermercados Mas X Menos,Exito is nearby but farther,,,5,Viejo Chiflas (16 minutes),Sabor Cordillera (8 mins),,2,4,Mega Mall (28 minutes),Agua Park (28 minutes),Smart Fit (13 minutes),Cine Colombia (20 mins),Parque Las Palmas (13 mins),2,No,Yes,No,Yes,Yes,Yes,Yes,Good,Yes,No,Yes,3:00 PM,11:00 AM,None,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,,,,,,,,,,,,,,,,,,,,,,,Almost,"Affordable, but Space maybe an Issue",$77.42,$125.67,$113.09,$149.36,$165.97,$125.67,$127.72,Yes,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,No,120,50,40,8,8,Apartment in Girón,No,https://www.airbnb.com/guest/messages/2034184002,Yes,01/19/25 - 01/22/25,https://www.airbnb.com/rooms/1252842315288060168?room_types%5B%5D=Entire%20home%2Fapt,1,5,1,96.38,82.80,0.00,13.58,27.60,3,85.90993982,0.00,13.58,14.09006018,3 beds,3,,60,,7,,53,14,4,16,,1,,,Fiore de la campiña,,,2,,,,,,,,,,10,1,Nothing,,,10,1,Nothing,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,FALSE,FALSE,TRUE,,TRUE,,,,TRUE,,,,Almost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[object Object],NaN
2,Maybe,98,50,24,8,12,Apartment in Floridablanca,No - Option 4,https://www.airbnb.com/guest/messages/2029796619,Yes,01/19/25 - 01/22/25,https://www.airbnb.com/rooms/1258951616897352849?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,1,5,5,173.48,149.04,0.00,24.44,49.68,3,85.91192068,0.00,24.44,14.08807932,3 beds,3,,60,,5,,57,4,9,1,,,,,Bosque Central Conjunto Residencial,,,2.5,,,,Hotel Chicamocha,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,Almost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[object Object],NaN
5,No,77,30,20,1,16,Apartment in Piedecuesta,No,https://www.airbnb.com/guest/messages/2034188453,Yes,01/19/25 - 01/22/25,https://www.airbnb.com/rooms/813712794187692644?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,5,4.74,6,176.69,138.00,0.00,38.69,46.00,3,78.10289207,13.80,24.89,21.89710793,,10,,40,,3,,67,10,6,12,,,,,Smart Clarisas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,TRUE,TRUE,,,,,,,Almost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[object Object],NaN
10,Maybe,61,5,32,4,2,Loft in Bucaramanga,Yes - Option 6,https://www.airbnb.com/guest/messages/2034191415,Yes,01/19/25 - 01/22/25,https://www.airbnb.com/rooms/619588670478121649?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,10,4.6,3,142.00,117.00,0.00,25.00,39.00,3,82.3943662,5.00,20.00,17.6056338,1 bed,7,,50,,10,,47,18,2,27,,,,,Near La Melona Burger (Educated Guess) - Owner didn't specify - listing says Cacique mall is close by,City Center,,2.7,,Palenegro airport (25 minutes),,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,FALSE,FALSE,,,TRUE,TRUE,,,,,,,Almost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[object Object],NaN
9,Maybe,64,10,32,6,10,Apartment in Floridablanca,No - Option 7,https://www.airbnb.com/guest/messages/2034967262,Yes,01/19/25 - 01/22/25,https://www.airbnb.com/rooms/1284311151216637730?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,9,4.63,3,142.00,124.00,0.00,18,41,3,0.8732394366,18,0,0.1267605634,4 beds,5,,58,50,6,,55,6,8,10,,,,,Bosque Central Conjunto Residencial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,FALSE,,,,TRUE,,,,,,TRUE,,Almost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[object Object],NaN
