Want,Like,Accommodation,TotalPrice,Rating,Rate,RatePercent,CleaningFee,AirbnbFee,FeeTotal,FeePercent,BedroomCount,Wifi,AC,TV,TV2,Sqm,Floor,CeilingHeight
,,Apartment in Bucaramanga,48,5,16,NaN,0,0,0,NaN,,1,1,,,,,
,,Apartment in Floridablanca,69,5,23,NaN,0,0,0,NaN,2,1,1,,,,,
,,Condo in Bucaramanga,78,5,26,NaN,0,0,0,NaN,1.5,1,1,,,,,
,,Apartment in Girón,84,5,28,NaN,0,0,0,NaN,1.5,1,1,,,,,
,,Apartment in Bucaramanga,105,5,35,NaN,0,0,0,NaN,,1,1,,,,,
,,Apartment in Floridablanca,111,5,37,NaN,0,0,0,NaN,,1,1,,,,,
,,Apartment in Floridablanca,114,5,38,NaN,0,0,0,NaN,1.5,1,1,,,,,
,,Condo in Bucaramanga,123,5,41,NaN,0,0,0,NaN,1.5,1,1,,,,,
,,Apartment in Floridablanca,129,5,43,NaN,0,0,0,NaN,,1,1,,,,,
,,Condo in Bucaramanga,132,5,44,NaN,0,0,0,NaN,,1,1,,,,,
,,Apartment in Bucaramanga,159,5,53,NaN,0,0,0,NaN,,1,1,,,,,
,,Home in Bucaramanga,192,5,64,NaN,0,0,0,NaN,,1,1,,,,,
,,Apartment in Bucaramanga,207,5,69,NaN,0,0,0,NaN,1,1,1,,,,,
,,Home in La Parcela,633,5,211,NaN,0,0,0,NaN,11.5,1,1,,,,,
,,Condo in Bucaramanga,126,4.96,42,NaN,0,0,0,NaN,1.5,1,1,,,,,
,,Apartment in Bucaramanga,132,4.96,44,NaN,0,0,0,NaN,2,1,1,,,,,
,,Apartment in Bucaramanga,78,4.95,26,NaN,0,0,0,NaN,1,1,1,,,,,
,,Condo in Bucaramanga,105,4.95,35,NaN,0,0,0,NaN,1,1,1,,,,,
,,Apartment in Floridablanca,186,4.95,62,NaN,0,0,0,NaN,1,1,1,,,,,
,,Home in Bucaramanga,198,4.95,66,NaN,0,0,0,NaN,2.5,1,1,,,,,
,,Loft in Bucaramanga,72,4.94,24,NaN,0,0,0,NaN,1,1,1,,,,,
,,Apartment in Bucaramanga,240,4.94,80,NaN,0,0,0,NaN,1,1,1,,,,,
,,Loft in Bucaramanga,276,4.94,92,NaN,0,0,0,NaN,2,1,1,,,,,
,,Apartment in Bucaramanga,96,4.93,32,NaN,0,0,0,NaN,1,1,1,,,,,
,,Condo in Bucaramanga,105,4.93,35,NaN,0,0,0,NaN,1,1,1,,,,,
,,Apartment in Floridablanca,138,4.93,46,NaN,0,0,0,NaN,1,1,1,,,,,
,,Apartment in Bucaramanga,243,4.93,81,NaN,0,0,0,NaN,,1,1,,,,,
,,Apartment in Bucaramanga,333,4.93,111,NaN,0,0,0,NaN,2,1,1,,,,,
,,Cottage in Girón,861,4.93,287,NaN,0,0,0,NaN,3,1,1,,,,,
,,Apartment in Floridablanca,105,4.92,35,NaN,0,0,0,NaN,1,1,1,,,,,
,,Cabin in Girón,621,4.92,207,NaN,0,0,0,NaN,,1,1,,,,,
,,Apartment in Bucaramanga,63,4.91,21,NaN,0,0,0,NaN,,1,1,,,,,
,,Apartment in Bucaramanga,117,4.91,39,NaN,0,0,0,NaN,,1,1,,,,,
,,Condo in Bucaramanga,126,4.91,42,NaN,0,0,0,NaN,1.5,1,1,,,,,
,,Apartment in Bucaramanga,78,4.9,26,NaN,0,0,0,NaN,2,1,1,,,,,
,,Vacation home in Bucaramanga,72,4.89,24,NaN,0,0,0,NaN,1,1,1,,,,,
,,Apartment in Bucaramanga,75,4.89,25,NaN,0,0,0,NaN,,1,1,,,,,
,,Apartment in Bucaramanga,132,4.89,44,NaN,0,0,0,NaN,,1,1,,,,,
,,Apartment in Bucaramanga,168,4.89,56,NaN,0,0,0,NaN,1,1,1,,,,,
,,Apartment in Bucaramanga,87,4.88,29,NaN,0,0,0,NaN,1,1,1,,,,,
,,Apartment in Floridablanca,108,4.88,36,NaN,0,0,0,NaN,1,1,1,,,,,
,,Home in Floridablanca,240,4.88,80,NaN,0,0,0,NaN,1,1,1,,,,,
,,Villa in Floridablanca,552,4.88,184,NaN,0,0,0,NaN,,1,1,,,,,
,,Condo in Floridablanca,75,4.87,25,NaN,0,0,0,NaN,2,1,1,,,,,
,,Apartment in Floridablanca,114,4.87,38,NaN,0,0,0,NaN,,1,1,,,,,
,,Apartment in Floridablanca,117,4.86,39,NaN,0,0,0,NaN,,1,1,,,,,
,,Apartment in Bucaramanga,120,4.86,40,NaN,0,0,0,NaN,2.5,1,1,,,,,
