Want,Like,Accommodation,TotalPrice,Rating,Rate,RatePercent,CleaningFee,AirbnbFee,FeeTotal,FeePercent,BedroomCount,Wifi,AC,TV,TV2,Sqm,Floor,CeilingHeight
2,0,Vacation home in Floridablanca,144.81,4.74,37.10,76.85933292,13.11,20.40,33.51,23.14066708,1,,,46,,51,3,2.4
1,1,Apartment in Bucaramanga,200.28,4.83,58.50,87.62732175,0.00,24.78,24.78,12.37267825,2,1,1,45,,90,16,
2,0,Loft in Bucaramanga,204.92,4.83,65.24,95.5104431,9.20,0.00,9.20,4.4895569,1,,1,65,2,50,11,2.4
0,1,Apartment in Bucaramanga,313.82,4.69,75.00,71.69715123,50.00,38.82,88.82,28.30284877,4,,,80,70,90,35,
2,1,Apartment in Bucaramanga,111.51,4.71,59.00,158.7301587,0.00,0.00,0.00,0,2,1,1,55,49,60,17,2.3
0,0,Apartment in Girón,96.38,5,27.60,85.90993982,0.00,13.58,13.58,14.09006018,1.5,1,,60,,53,16,2
2,0,Apartment in Floridablanca,173.48,5,49.68,85.91192068,0.00,24.44,24.44,14.08807932,1.5,1,,60,,57,1,2.5
0,0,Apartment in Piedecuesta,176.69,4.74,46.00,78.10289207,13.80,24.89,38.69,21.89710793,,1,,40,,67,12,
2,1,Loft in Bucaramanga,142.00,4.6,39.00,82.3943662,5.00,20.00,25.00,17.6056338,1,1,1,50,,47,27,2.7
2,0,Apartment in Floridablanca,142.00,4.63,41,0.8732394366,18,0,18,0.1267605634,2,1,,58,50,55,10,
